TMTID(VTM),FSN,CHANGEDATE
776021,calcium carbonate + calcium phosphate + magnesium hydroxide (VTM),20140420
984461,calcium carbonate + calcium phosphate + magnesium oxide (VTM),20160515
678750,calcium carbonate + colecalciferol (VTM),20140104
820936,calcium carbonate + colecalciferol + copper + magnesium + manganese + zinc (VTM),20140705
758968,calcium carbonate + copper + magnesium + manganese + vitamin D3 + zinc (VTM),20140407
981595,calcium carbonate + copper + magnesium + manganese + zinc (VTM),20160417
1100189,calcium carbonate + magnesium hydroxide (VTM),20190302
271222,calcium carbonate + simeticone (VTM),20130805
220749,calcium carbonate + sodium alginate + sodium bicarbonate (VTM),20130627
759080,calcium carbonate + vitamin D3 (VTM),20140407
750410,calcium chloride (VTM),20140324
1031420,calcium chloride + dextrose + magnesium chloride + potassium acetate + sodium chloride + sodium citrate + sodium metabisulfite + zinc sulfate (VTM),20180518
763061,calcium chloride + dextrose + magnesium chloride + sodium acetate + sodium chloride (VTM),20140407
895114,calcium chloride + dextrose + magnesium chloride + sodium acetate trihydrate + sodium bisulfite + sodium chloride (VTM),20150202
863270,calcium chloride + dextrose + magnesium chloride + sodium bisulfite + sodium chloride + sodium lactate (VTM),20141123
785985,calcium chloride + dextrose + magnesium chloride + sodium chloride + sodium lactate (VTM),20190531
975662,calcium chloride + dextrose + potassium chloride + sodium acetate + sodium chloride (VTM),20160305
975670,calcium chloride + dextrose + potassium chloride + sodium acetate trihydrate + sodium chloride (VTM),20160305
558141,calcium chloride + dextrose + potassium chloride + sodium chloride + sodium lactate (VTM),20131005
813404,calcium chloride + icodextrin + magnesium chloride + sodium chloride + sodium lactate (VTM),20140616
738536,calcium chloride + magnesium chloride + potassium chloride + sodium acetate + sodium chloride + sodium citrate (VTM),20140214
578008,calcium chloride + potassium chloride + sodium chloride + sodium lactate (VTM),20131005
814523,calcium chloride dihydrate + carmellose sodium + dibasic potassium phosphate + magnesium chloride hexahydrate + potassium chloride + sodium chloride + sorbitol (VTM),20140616
1134671,calcium chloride dihydrate + dexamethasone + magnesium chloride hexahydrate + potassium chloride + sodium acetate trihydrate + sodium chloride + sodium citrate dihydrate (VTM),20200104
1118996,calcium chloride dihydrate + dextrose + glutathione disulfide + magnesium chloride hexahydrate (VTM),20190629
839116,calcium chloride dihydrate + dextrose + magnesium chloride hexahydrate (VTM),20140817
858758,calcium chloride dihydrate + dextrose + magnesium chloride hexahydrate + potassium chloride + sodium chloride + sodium citrate dihydrate (VTM),20141019
799147,calcium chloride dihydrate + dextrose + magnesium chloride hexahydrate + sodium acetate trihydrate + sodium bisulfite + sodium chloride (VTM),20140519
967579,calcium chloride dihydrate + dextrose + magnesium chloride hexahydrate + sodium chloride + sodium lactate (VTM),20160104
995987,calcium chloride dihydrate + dextrose + potassium chloride + sodium acetate trihydrate + sodium chloride (VTM),20161106
1022068,calcium chloride dihydrate + dextrose hydrous + magnesium chloride hexahydrate + sodium chloride + sodium lactate (VTM),20171213
853850,calcium chloride dihydrate + dextrose monohydrate + glacial acetic acid + magnesium chloride hexahydrate + potassium chloride + sodium chloride (VTM),20141004
804233,calcium chloride dihydrate + histidine + histidine hydrochloride monohydrate + magnesium chloride hexahydrate + mannitol + potassium chloride + potassium hydrogen 2-oxopentandioate + sodium chloride + tryptophan (VTM),20140602
1118015,calcium chloride dihydrate + lactic acid + magnesium chloride hexahydrate + sodium bicarbonate + sodium chloride (VTM),20190628
1163884,calcium chloride dihydrate + lidocaine + magnesium sulfate + mannitol + potassium chloride + sodium bicarbonate + sodium chloride + sodium lactate (VTM),20201016
763660,calcium chloride dihydrate + magnesium chloride hexahydrate + potassium chloride + sodium acetate trihydrate + sodium chloride + sodium citrate dihydrate (VTM),20140407
956261,calcium chloride dihydrate + magnesium chloride hexahydrate + potassium chloride + sodium acetate trihydrate + sodium chloride + sodium citrate dihydrate + trypan blue stain (VTM),20150805
792027,calcium chloride dihydrate + magnesium chloride hexahydrate + sodium bicarbonate + sodium chloride (VTM),20140519
970476,calcium chloride dihydrate + potassium chloride + sodium acetate trihydrate + sodium chloride (VTM),20160117
1244130,calcium chloride dihydrate + potassium chloride + sodium chloride + sodium lactate (VTM),20221014
756969,calcium citrate (VTM),20140407
220754,calcium citrate + calcium gluconate + glutamine (VTM),20130627
1135834,calcium citrate + colecalciferol (VTM),20200130
883484,calcium edetic acid (VTM),20150119
767002,calcium gluconate (VTM),20140407
860764,calcium glycerophosphate + cobaltous chloride + cupric sulphate + ferric glycerophosphate + nicotinamide + potassium glycerophosphate + pyridoxine hydrochloride + riboflavin + sodium glycerophosphate + thiamine hydrochloride (VTM),20141102
949931,calcium hypochlorite (VTM),20150614
738312,calcium lactate (VTM),20140214
845551,calcium levulinate (VTM),20140914
844938,calcium levulinate + chlorphenamine maleate (VTM),20140914
700693,calcium pantothenate (VTM),20140118
847159,calcium pantothenate + choline + cyanocobalamin + inositol + methionine + nicotinamide + pyridoxine + riboflavin + thiamine (VTM),20140914
913194,calcium pantothenate + cyanocobalamin + doxercalciferol + lysine hydrochloride + nicotinamide + pyridoxine hydrochloride + retinol + riboflavin + thiamine hydrochloride (VTM),20150314
1209961,calcium pantothenate + cyanocobalamin + dried yeast + nicotinamide + pyridoxine hydrochloride + riboflavin + thiamine mononitrate (VTM),20211110
783588,calcium pantothenate + cyanocobalamin + ferric ammonium citrate + liver extract + nicotinamide + sodium glycerophosphate + thiamine (VTM),20140504
756144,calcium pantothenate + cyanocobalamin + folic acid + nicotinamide + pyridoxine + riboflavin + thiamine (VTM),20140407
792822,calcium pantothenate + cyanocobalamin + fursultiamine + pyridoxine + tocopherol (VTM),20140519
743337,calcium pantothenate + cyanocobalamin + nicotinamide + pyridoxine + riboflavin + thiamine (VTM),20140304
1206810,calcium pantothenate + cyanocobalamin + nicotinamide + pyridoxine hydrochloride + riboflavin + thiamine hydrochloride (VTM),20211029
748797,calcium pantothenate + cyanocobalamin + nicotinamide + pyridoxine hydrochloride + riboflavin + thiamine mononitrate (VTM),20140324
220765,calcium pantothenate + ibuprofen (VTM),20130627
803900,calcium pantothenate + nicotinamide + pyridoxine + riboflavin + thiamine (VTM),20140602
1111067,calcium pantothenate + nicotinamide + pyridoxine hydrochloride + riboflavin + thiamine hydrochloride (VTM),20190504
673154,calcium polystyrene sulfonate (VTM),20131215
695565,calcium sennosides + docusate sodium (VTM),20140118
1177720,calendula extract + chamomile extract + d-alpha tocopherol + jojoba oil + pennywort extract (VTM),20210211
1263165,calfactant (VTM),20230522
866246,camphor (VTM),20141123
940380,camphor + capsicum tincture + compound cardamom tincture + ethyl alcohol + strong ginger tincture (VTM),20150515
795746,camphor + capsicum tincture + compound cardamom tincture + ginger tincture (VTM),20141012
742351,camphor + capsicum tincture + compound cardamom tincture + strong ginger tincture (VTM),20140304
820785,camphor + capsicum tincture + eucalyptus oil + eugenol + menthol + methyl salicylate + thymol (VTM),20140705
694110,camphor + clove oil + eucalyptus oil + menthol + methyl salicylate (VTM),20140118
953923,camphor + compound rhubarb tincture + peppermint oil + sodium bicarbonate (VTM),20150716
1027670,camphor + eucalyptus oil (VTM),20180412
798749,camphor + eucalyptus oil + eugenol + menthol + methyl salicylate (VTM),20140519
941334,camphor + eucalyptus oil + menthol (VTM),20150515
779968,camphor + eucalyptus oil + menthol + methyl salicylate (VTM),20140420
1034493,camphor + eucalyptus oil + menthol + methyl salicylate + peppermint oil (VTM),20180702
961445,camphor + eugenol + menthol + methyl salicylate (VTM),20151018
1018876,camphor + lidocaine hydrochloride (VTM),20171116
789558,camphor + menthol + methyl salicylate (VTM),20140504
859234,camphor + menthol + methyl salicylate + nonivamide (VTM),20141019
739761,camphor + menthol + phenol (VTM),20140304
932364,camphor + menthol + resorcinol (VTM),20150418
917397,camphor + peppermint oil + rhubarb + sodium bicarbonate (VTM),20150404
1036594,camphor + turpentine oil + wintergreen oil (VTM),20180805
812166,camphor spirit + capsicum tincture + compound cardamom tincture + weak ginger tincture (VTM),20140616
845624,camphor spirit + capsicum tincture + compound gentian tincture + strong ginger tincture (VTM),20140914
952612,camphorated opium tincture (VTM),20150703
532092,camphorated opium tincture + glycyrrhiza (VTM),20130914
936202,camphorated opium tincture + liquorice (VTM),20150503
709998,camphorated parachlorophenol solution (VTM),20140118
710068,camphorated phenol solution (VTM),20140118
939733,canagliflozin (VTM),20150515
720208,canakinumab (VTM),20140118
220777,candesartan cilexetil (VTM),20130627
220783,candesartan cilexetil + hydrochlorothiazide (VTM),20130627
1129615,cannabidiol-cannabis extract (VTM),20191102
1129538,cannabidiol-cannabis extract + delta-9-tetrahydrocannabinol-cannabis extract (VTM),20191102
220796,capecitabine (VTM),20130627
1234829,capmatinib (VTM),20220514
717202,capreomycin (VTM),20140118
933556,capric acid + caprylic acid (VTM),20150502
714526,capsaicin (VTM),20140118
936130,capsicum + compound cardamom tincture + strong ginger tincture (VTM),20150503
759154,capsicum oleoresin (VTM),20140407
847438,capsicum tincture + cardamom tincture + sodium bicarbonate + strong ginger tincture (VTM),20140914
1205853,capsicum tincture + compound cardamom tincture + weak ginger tincture (VTM),20211029
220806,captopril (VTM),20130627
1118782,captropril (VTM),20190628
777351,carbachol (VTM),20140420
246876,carbamazepine (VTM),20130805
1141263,carbaril (VTM),20200404
820666,carbetapentane + dextromethorphan hydrobromide + guaifenesin (VTM),20140705
806055,carbetocin (VTM),20140602
476476,carbidopa (VTM),20130805
446878,carbidopa + entacapone + levodopa (VTM),20130805
272741,carbidopa + levodopa (VTM),20130805
975689,carbocisteine (VTM),20160305
975691,carbocisteine lysine (VTM),20160305
677533,carbohydrates (VTM),20140104
677703,carbohydrates + electrolytes (VTM),20140104
510097,carbolic acid + menthol + salicylic acid (VTM),20130830
786453,carbomer (VTM),20140504
662924,carbomer + cetrimide (VTM),20131102
1319185,carbomer + glycerol (VTM),20241225
946828,carbomer + propylene glycol (VTM),20150601
220810,carboplatin (VTM),20130627
982334,carbopol + propylene glycol + sodium hydroxide (VTM),20160418
974745,carfilzomib (VTM),20160214
1223013,carglumic acid (VTM),20220217
1137123,cariprazine (VTM),20200213
1024770,carmellose (VTM),20180302
985062,carmellose + glycerol (VTM),20160515
1024076,carmellose + glycerol + methylparaben + propylparaben + sorbitol (VTM),20180215
1024069,carmellose + methylparaben + propylparaben + sorbitol + syrup (VTM),20180215
1024762,carmellose sodium (VTM),20180302
691823,carmellose sodium + glycerol (VTM),20141012
1043840,carmellose sodium + glycerol + hyaluronate sodium (VTM),20181129
1174082,carmellose sodium + glycerol + lidocaine hydrochloride (VTM),20210130
1002179,carmellose sodium + glycerol + polysorbate 80 (VTM),20170114
918959,carmellose sodium + glycerol + potassium chloride (VTM),20150404
220823,carmustine (VTM),20130627
975063,carnitine (VTM),20160214
710132,carnoy's solution (VTM),20141007
793520,carteolol hydrochloride (VTM),20140519
272242,carvedilol (VTM),20130805
1211687,casirivimab (VTM),20211202
655575,caspofungin (VTM),20131102
836725,castor oil (VTM),20140817
1296581,cat (felis catus) hair allergen extract (VTM),20240412
756251,catnep + sodium bicarbonate (VTM),20140407
274774,cefaclor (VTM),20130805
661448,cefalexin (VTM),20131102
845695,cefamandole (VTM),20140914
1144795,cefazidime (VTM),20200517
542976,cefazolin (VTM),20131005
543958,cefazolin + lidocaine (VTM),20131005
916479,cefazolin sodium (VTM),20150316
398250,cefdinir (VTM),20130805
659212,cefditoren (VTM),20131102
1101251,cefditoren pivoxil (VTM),20190314
544143,cefepime (VTM),20131005
275387,cefixime (VTM),20130805
659334,cefminox (VTM),20131102
544693,cefoperazone (VTM),20131005
545064,cefoperazone + sulbactam (VTM),20131005
545659,cefotaxime (VTM),20131005
547021,cefoxitin (VTM),20131005
720310,cefpirome (VTM),20140118
1028972,ceftaroline fosamil (VTM),20180518
547256,ceftazidime (VTM),20131005
655789,ceftibuten (VTM),20131102
1020383,ceftolozane + tazobactam (VTM),20171202
548378,ceftriaxone (VTM),20131005
1001950,ceftriaxone + lidocaine hydrochloride (VTM),20170114
249569,cefuroxime (VTM),20130805
220834,celecoxib (VTM),20130627
996030,ceritinib (VTM),20161106
794821,cetalkonium chloride + choline salicylate (VTM),20140519
861479,cetirizine hydrochloride (VTM),20141102
484370,cetirizine hydrochloride + pseudoephedrine hydrochloride (VTM),20130805
1122971,cetomacrogol + cetyl alcohol + edetic acid + methylparaben + mineral oil + propylene glycol + strearyl alcohol + white petrolatum (VTM),20190815
953189,cetomacrogol + cetyl alcohol + methylparaben + mineral oil + propylene glycol + propylparaben + stearyl alcohol + white petrolatum (VTM),20150703
899628,cetostearyl alcohol + macrogol 1000 + mineral oil + monobasic sodium phosphate + white petrolatum (VTM),20150218
492000,cetrimide (VTM),20130830
934167,cetrimide + chlorhexidine + ethyl alcohol (VTM),20150503
492398,cetrimide + chlorhexidine gluconate (VTM),20130830
493290,cetrimide + edetate disodium (VTM),20130830
1022340,cetrimide + lidocaine (VTM),20171228
803362,cetrorelix (VTM),20140602
220847,cetuximab (VTM),20130627
1140860,cetyl alcohol + glycerol + methylparaben + mineral oil + propylparaben + sodium lauryl sulfate + stearyl alcohol + white petrolatum (VTM),20200314
1165787,cetyl alcohol + glycerol + methylparaben + mineral oil + propylparaben + stearyl alcohol + white petrolatum (VTM),20201030
942326,cetyl alcohol + glycerol + mineral oil + sodium lauryl sulfate + stearyl alcohol + white petrolatum (VTM),20150515
894301,cetyl alcohol + glycerol + mineral oil + stearyl alcohol + white petrolatum (VTM),20150202
989014,cetyl alcohol + glyceryl monostearate + mineral oil + stearyl alcohol (VTM),20160703
982212,cetyl alcohol + mineral oil + propylene glycol + sodium lauryl sulfate + stearyl alcohol (VTM),20160418
894408,cetyl alcohol + mineral oil + propylene glycol + stearyl alcohol (VTM),20150202
1178739,cetyl alcohol + mineral oil + stearic acid + stearyl alcohol (VTM),20210226
896357,cetyl alcohol + mineral oil + stearyl alcohol (VTM),20150218
949795,cetyl alcohol + mineral oil + stearyl alcohol + white petrolatum (VTM),20150614
958075,cetyl alcohol + mineral oil + white petrolatum (VTM),20150817
1208140,cetyl alcohol + propylene glycol + stearyl alcohol (VTM),20211110
924953,cetyl alcohol + salicylic acid + stearyl alcohol (VTM),20150404
932496,cetyl alcohol + stearyl alcohol (VTM),20150418
923294,cetyl alcohol + stearyl alcohol + white petrolatum (VTM),20150404
745907,cetylpyridinium chloride (VTM),20140304
1172408,chadox1-s recombinant (azd1222) (VTM),20210126
699570,chamazulene + chamomile extract + essential oil (VTM),20140118
1044040,chamomile (VTM),20181129
831540,chamomile flower tincture + lidocaine + thymol (VTM),20140803
767779,chamomile flower tincture + lidocaine hydrochloride (VTM),20140407
272652,charcoal + magnesium carbonate + pectin (VTM),20130805
707833,chloral hydrate (VTM),20140118
220852,chlorambucil (VTM),20130627
237649,chloramphenicol (VTM),20130805
995956,chloramphenicol + chlortetracycline + neomycin sulfate (VTM),20161106
523831,chloramphenicol + dexamethasone (VTM),20130914
523923,chloramphenicol + dexamethasone + tetryzoline hydrochloride (VTM),20130914
469765,chloramphenicol + diiodohydroxyquinoline + nystatin (VTM),20130805
1157450,chloramphenicol + hydrocortisone acetate (VTM),20200814
1114073,chloramphenicol + lidocaine (VTM),20190531
1114087,chloramphenicol + lidocaine hydrochloride (VTM),20190531
524134,chloramphenicol + naphazoline + prednisolone (VTM),20130914
493940,chloramphenicol + prednisolone (VTM),20130830
279967,chloramphenicol + streptomycin (VTM),20130805
260724,chlordiazepoxide (VTM),20130805
533509,chlordiazepoxide + clidinium bromide (VTM),20130914
771172,chlorhexidine (VTM),20140407
934271,chlorhexidine + ethyl alcohol (VTM),20150503
934122,chlorhexidine + lidocaine hydrochloride (VTM),20150503
957017,chlorhexidine + sodium fluoride (VTM),20150816
941750,chlorhexidine + sodium nitrate (VTM),20150515
780537,chlorhexidine acetate (VTM),20140420
793928,chlorhexidine dihydrochloride + dexpanthenol (VTM),20140519
812227,chlorhexidine dihydrochloride + lidocaine (VTM),20140616
757506,chlorhexidine gluconate (VTM),20140407
757990,chlorhexidine gluconate + ethyl alcohol (VTM),20140407
941709,chlorhexidine gluconate + ethyl alcohol + glycerol (VTM),20150515
956668,chlorhexidine gluconate + gentian violet (VTM),20150805
812364,chlorhexidine gluconate + isopropyl alcohol (VTM),20140616
795039,chlorhexidine gluconate + polihexanide (VTM),20140519
915665,chlorhexidine gluconate + sodium nitrite (VTM),20150314
905249,chloride + citrate + dextrose + potassium + sodium (VTM),20150228
679520,chlormadinone + ethinylestradiol (VTM),20140104
961095,chloroform + ethyl alcohol + ferric chloride + glacial acetic acid (VTM),20151005
239610,chloroquine phosphate (VTM),20130805
552473,chloroquine phosphate + lidocaine (VTM),20131005
771635,chloroxylenol (VTM),20140407
805041,chloroxylenol + edetic acid + triclosan (VTM),20140602
949070,chloroxylenol + ethyl alcohol + menthol + peppermint oil (VTM),20150614
920534,chloroxylenol + ethyl alcohol + menthol + peppermint oil + saccharin (VTM),20150404
956566,chloroxylenol + ethyl alcohol + menthol + saccharin sodium + sodium chloride (VTM),20150805
891171,chloroxylenol + menthol (VTM),20150202
1251367,chloroxylenol + menthol + sodium chloride (VTM),20221231
897983,chloroxylenol + phenol (VTM),20150218
926306,chloroxylenol + sodium chloride (VTM),20150404
773539,chloroxylenol + special mouthwash (VTM),20140407
1112884,chlorphenamine maleate (VTM),20190516
266773,chlorphenamine maleate + dextromethorphan hydrobromide (VTM),20130805
748539,chlorphenamine maleate + dextromethorphan hydrobromide + guaifenesin (VTM),20140324
624064,chlorphenamine maleate + dextromethorphan hydrobromide + guaifenesin + paracetamol (VTM),20131005
957381,chlorphenamine maleate + dextromethorphan hydrobromide + guaifenesin + phenylephrine hydrochloride (VTM),20150817
967420,chlorphenamine maleate + dextromethorphan hydrobromide + guaifenesin + phenylephrine hydrochloride + phenylpropanolamine (VTM),20160104
605846,chlorphenamine maleate + dextromethorphan hydrobromide + guaifenesin + phenylpropanolamine (VTM),20131005
606591,chlorphenamine maleate + dextromethorphan hydrobromide + guaifenesin + pseudoephedrine hydrochloride (VTM),20131005
604868,chlorphenamine maleate + dextromethorphan hydrobromide + guaifenesin + sodium citrate (VTM),20131005
824117,chlorphenamine maleate + dextromethorphan hydrobromide + guaifenesin + terpin hydrate (VTM),20140721
552563,chlorphenamine maleate + dextromethorphan hydrobromide + methylephedrine (VTM),20131005
297389,chlorphenamine maleate + dextromethorphan hydrobromide + paracetamol (VTM),20130805
964117,chlorphenamine maleate + dextromethorphan hydrobromide + paracetamol + phenylephrine hydrochloride (VTM),20151207
623704,chlorphenamine maleate + dextromethorphan hydrobromide + paracetamol + phenylpropanolamine (VTM),20131005
379748,chlorphenamine maleate + dextromethorphan hydrobromide + paracetamol + pseudoephedrine hydrochloride (VTM),20130805
361660,chlorphenamine maleate + dextromethorphan hydrobromide + paracetamol + terpin hydrate (VTM),20130805
605275,chlorphenamine maleate + dextromethorphan hydrobromide + phenylephrine hydrochloride (VTM),20131005
605908,chlorphenamine maleate + dextromethorphan hydrobromide + phenylpropanolamine (VTM),20131005
326729,chlorphenamine maleate + dextromethorphan hydrobromide + potassium guaiacolsulfonate (VTM),20130805
304498,chlorphenamine maleate + dextromethorphan hydrobromide + pseudoephedrine hydrochloride (VTM),20130805
247509,chlorphenamine maleate + dextromethorphan hydrobromide + terpin hydrate (VTM),20130805
605223,chlorphenamine maleate + guaifenesin (VTM),20131005
967431,chlorphenamine maleate + guaifenesin + paracetamol + phenylephrine hydrochloride (VTM),20160104
494172,chlorphenamine maleate + hexachlorophene + lidocaine + menthol + methyl salicylate (VTM),20130830
1199548,chlorphenamine maleate + naphazoline hydrochloride (VTM),20210813
955717,chlorphenamine maleate + paracetamol (VTM),20150805
302762,chlorphenamine maleate + paracetamol + phenazopyridine (VTM),20130805
1158981,chlorphenamine maleate + paracetamol + phenylephrine (VTM),20200904
964062,chlorphenamine maleate + paracetamol + phenylephrine + phenylephrine hydrochloride (VTM),20151207
748231,chlorphenamine maleate + paracetamol + phenylephrine hydrochloride (VTM),20140324
967449,chlorphenamine maleate + paracetamol + phenylephrine hydrochloride + phenylpropanolamine (VTM),20160104
967454,chlorphenamine maleate + paracetamol + phenylephrine hydrochloride + potassium citrate (VTM),20160104
967465,chlorphenamine maleate + paracetamol + phenylephrine hydrochloride + pseudoephedrine hydrochloride (VTM),20160104
965710,chlorphenamine maleate + paracetamol + phenylephrine hydrochloride + salicylamide (VTM),20151222
435436,chlorphenamine maleate + paracetamol + phenylpropanolamine (VTM),20131103
240228,chlorphenamine maleate + paracetamol + pseudoephedrine hydrochloride (VTM),20130805
642653,chlorphenamine maleate + paracetamol + pseudoephedrine hydrochloride + salicylamide (VTM),20131005
234211,chlorphenamine maleate + paracetamol + salicylamide (VTM),20130805
965723,chlorphenamine maleate + phenylephrine hydrochloride (VTM),20151222
967477,chlorphenamine maleate + phenylephrine hydrochloride + potassium citrate (VTM),20160104
967355,chlorphenamine maleate + phenylephrine hydrochloride + theophylline (VTM),20160104
606320,chlorphenamine maleate + potassium guaiacolsulfonate (VTM),20131005
294463,chlorphenamine maleate + pseudoephedrine hydrochloride (VTM),20130805
290551,chlorphenamine maleate + salicylamide (VTM),20130805
250096,chlorphenamine maleate + terpin hydrate (VTM),20130805
800575,chlorphenoxamine hydrochloride (VTM),20140519
239699,chlorpromazine hydrochloride (VTM),20130805
262360,chlorpropamide (VTM),20130805
1021494,chlortalidone (VTM),20171213
684504,chlortetracycline (VTM),20140104
858302,choline + dexpanthenol + inositol + nicotinamide + pyridoxine + riboflavin + thiamine (VTM),20141019
220881,chondroitin sulfate + glucosamine sulfate (VTM),20130627
745799,chondroitin sulfate sodium + glucosamine sulfate (VTM),20140304
682487,choriogonadotropin alfa (VTM),20140104
679596,chorionic gonadotrophin (VTM),20140104
982038,chromium + cobalt + copper + iodine + manganese + molybdenum + zinc (VTM),20160418
931983,chromium + copper + iodine + manganese + molybdenum (VTM),20150418
931879,chromium + copper + iodine + zinc (VTM),20150418
1294288,chromium chloride hexahydrate + copper sulfate pentahydrate + l-alanine + manganese sulfate monohydrate + selenium dioxide + sodium iodide + sodium molybdate (VTM),20240328
834008,ciclesonide (VTM),20140803
684570,ciclonium bromide (VTM),20140104
740405,ciclopirox olamine (VTM),20140304
220899,ciclosporin (VTM),20131103
984160,cidofovir (VTM),20160515
563306,cilastatin + imipenem (VTM),20131005
220909,cilazapril (VTM),20130627
1241161,cilgavimab (VTM),20220810
1111430,cilnidipine (VTM),20190504
220913,cilostazol (VTM),20130627
220921,cimetidine (VTM),20130627
778870,cimicifuga racemosa (VTM),20140420
666457,cinacalcet (VTM),20131116
517122,cinchocaine + framycetin sulfate + hydrocortisone (VTM),20130830
769674,cinchocaine + hydrocortisone (VTM),20140407
269589,cinnarizine (VTM),20130805
461209,cinnarizine + domperidone (VTM),20130805
266359,ciprofloxacin (VTM),20130805
803605,ciprofloxacin + hydrocortisone (VTM),20140602
283594,cisapride (VTM),20130805
764362,cisatracurium (VTM),20140407
220932,cisplatin (VTM),20130627
974933,citic acid + sodium citrate (VTM),20160214
553475,citicoline (VTM),20131005
929511,citric acid (VTM),20150407
971499,citric acid + glycerol (VTM),20160117
835013,citric acid + magnesium oxide + sodium picosulfate (VTM),20140803
924019,citric acid + potassium citrate (VTM),20150404
923698,citric acid + potassium citrate + sodium citrate (VTM),20150404
734323,citric acid + sodium bicarbonate + sodium carbonate (VTM),20140202
818219,citric acid + sodium bicarbonate + sodium citrate + tartaric acid (VTM),20140705
1155949,citric acid + sodium chloride + sodium citrate (VTM),20200801
880623,citric acid + sodium citrate (VTM),20150119
903293,citric acid + sucrose (VTM),20150228
749078,citric acid anhydrous + sodium bicarbonate coarse + sodium bicarbonate fine + sodium carbonate (VTM),20140324
1031291,citric acid dihydrate + dextrose + trisodium citrate dihydrate (VTM),20180518
1221236,citric acid monohydrate + glycerol + methylparaben + propylparaben + saccharin sodium + sodium citric dihydrate + sorbitol + xanthan gum (VTM),20220113
1174654,citronella oil (VTM),20210211
1230137,citrulline (VTM),20220330
839813,citrus unshiu peel + creosote + gambir + glycyrrhiza + phellodendron bark (VTM),20140817
220945,cladribine (VTM),20130627
263115,clarithromycin (VTM),20130805
965734,clemizole + paracetamol + phenylephrine hydrochloride + salicylamide (VTM),20151222
694839,clevudine (VTM),20140118
229769,clindamycin (VTM),20130805
495298,clindamycin + metronidazole (VTM),20130830
971294,clindamycin hydrochloride (VTM),20160117
758278,clindamycin phosphate (VTM),20140407
927889,clioquinol + triamcinolone acetonide (VTM),20150404
331289,clobazam (VTM),20130805
495365,clobetasol (VTM),20130830
751792,clobetasol + coal tar (VTM),20140324
704454,clobetasol + salicylic acid (VTM),20140118
702359,clobetasol + urea (VTM),20140118
644677,clobetasol propionate (VTM),20131005
895762,clobetasol propionate + salicylic acid (VTM),20150202
653380,clofarabine (VTM),20131018
287333,clofazimine (VTM),20130805
358402,clofazimine + dapsone + rifampicin (VTM),20130805
679928,clomifene citrate (VTM),20140104
788236,clomiphene citrate (VTM),20140504
642859,clomipramine hydrochloride (VTM),20131005
245798,clonazepam (VTM),20130805
715882,clonidine hydrochloride (VTM),20140118
643869,clopamide + dihydroergocristine + reserpine (VTM),20131005
220950,clopidogrel (VTM),20130627
692631,clostridiopeptidase a (VTM),20140104
266203,clotrimazole (VTM),20130805
916825,clotrimazole + fluocinolone acetonide (VTM),20150316
499195,clotrimazole + hydrocortisone (VTM),20130830
341195,clotrimazole + urea (VTM),20130805
1014460,clove oil + menthol + methyl salicylate (VTM),20170916
255832,cloxacillin (VTM),20130805
861632,cloxacillin sodium (VTM),20141102
995960,cloxiquine + fluprednidene + neomycin sulfate (VTM),20161106
287712,clozapine (VTM),20130805
1258166,coagulation factor II + coagulation factor IX + coagulation factor VII + coagulation factor X + protein c (VTM),20230316
725682,coagulation factor II + coagulation factor VII + coagulation factor X + nonacog alfa (VTM),20140118
705704,coal tar (VTM),20140118
976635,coal tar + ethyl alcohol + propylene glycol (VTM),20160307
921800,coal tar + glycerol (VTM),20150404
992577,coal tar + hydrocortisone acetate (VTM),20160812
937868,coal tar + resorcinol + salicylic acid (VTM),20150503
922268,coal tar + salicylic acid (VTM),20150404
978591,coal tar + salicylic acid + triamcinolone acetonide (VTM),20160321
892804,coal tar + triamcinolone acetonide (VTM),20150202
1230706,cobicistat + darunavir (VTM),20220330
1036745,cobicistat + elvitegravir + emtricitabine + tenofovir alafenamide (VTM),20180805
966041,cobicistat + elvitegravir + emtricitabine + tenofovir disoproxil fumarate (VTM),20151222
762255,cobra antivenin (VTM),20140407
777529,cobra antivenin + banded krait antivenin + king cobra antivenin + malayan krait antivenin (VTM),20140420
902233,cocaine + cocaine hydrochloride (VTM),20150228
837126,cocaine + epinephrine (VTM),20140817
962379,cocaine hydrochloride (VTM),20151102
982427,cocamide diethanolamine + sodium chloride + sodium laureth sulfate (VTM),20160418
677987,cod liver oil (VTM),20140104
849085,cod liver oil + multivitamins (VTM),20140914
952988,codeine (VTM),20150703
268533,codeine + codeine phosphate + guaifenesin (VTM),20130805
291203,codeine + phenyltoloxamine (VTM),20130805
535128,codeine phosphate (VTM),20130914
531957,codeine phosphate + guaifenesin (VTM),20130914
531263,codeine phosphate + guaifenesin + terpin hydrate (VTM),20130914
531151,codeine phosphate + paracetamol (VTM),20170413
531762,codeine phosphate + promethazine hydrochloride (VTM),20130914
640205,codeine phosphate + pseudoephedrine hydrochloride + triprolidine hydrochloride (VTM),20131005
1034878,co-dergocrine mesylate (VTM),20180713
974525,coenzyme Q10 (VTM),20160214
279277,colchicine (VTM),20130805
679176,colecalciferol (VTM),20190604
873264,colecalciferol + cyanocobalamin + d-panthenol + lysine + nicotinamide + pyridoxine hydrochloride + retinol + riboflavin + thiamine hydrochloride (VTM),20141214
