TMTID(VTM),FSN,CHANGEDATE
786756,aluminium hydroxide + magnesium hydroxide + magnesium trisilicate (VTM),20140504
738128,aluminium hydroxide + magnesium hydroxide + magnesium trisilicate + simeticone (VTM),20140214
689860,aluminium hydroxide + magnesium hydroxide + simeticone (VTM),20140104
740576,aluminium hydroxide + magnesium trisilicate (VTM),20140304
757114,aluminium hydroxide + magnesium trisilicate + peppermint oil (VTM),20140407
877169,aluminium hydroxide + magnesium trisilicate + simeticone (VTM),20150105
958215,aluminium hydroxide-magnesium carbonate co-dried gel + dicycloverine hydrochloride + simeticone (VTM),20150906
220435,aluminium sodium silicate + bismuth subnitrate + glycyrrhiza + sodium sulfate (VTM),20130627
915146,aluminium subacetate (VTM),20150314
869203,aluminum hydroxide + calcium carbonate + cinnamon oil + clove oil + diastase + fennel oil + levomenthol + mamylase + scopolia extract + sodium bicarbonate + thiamine mononitrate (VTM),20141123
975643,aluminum hydroxide + magnesium hydroxide (VTM),20160305
838598,alverine citrate + simeticone (VTM),20140817
1285880,amantadine hydrochloride (VTM),20231013
1294652,amaranthus hybridus allergen extract (VTM),20240328
683755,ambrisentan (VTM),20140104
237552,ambroxol hydrochloride (VTM),20130805
1293748,american cockroach (periplaneta americana) allergen extract (VTM),20240328
813685,amfenac (VTM),20140616
220442,amfenac sodium (VTM),20130627
719413,amifostine (VTM),20140118
537329,amikacin (VTM),20131005
1101163,amikacin sulfate (VTM),20190302
378581,amiloride hydrochloride (VTM),20130805
238471,amiloride hydrochloride + hydrochlorothiazide (VTM),20130805
379619,amiloride hydrochloride + hydrochlorothiazide + timolol (VTM),20130805
795297,aminacrine hydrochloride + cetrimide (VTM),20140519
1276441,amino acid + calcium + destrose + heparin (VTM),20230715
1026565,amino acid + calcium gluconate + dextrose (VTM),20180315
676910,amino acids (VTM),20140104
1308249,amino acids + calcium gluconate + dextrose + dipotassium phosphate + heparin + magnesium sulfate + potassium chloride + sodium acetate + sodium chloride + trace element + water soluble multivitamins + zinc sulfate (VTM),20240913
1164410,amino acids + calcium gluconate + dextrose + heparin (VTM),20201016
677262,amino acids + carbohydrates + minerals + multivitamins (VTM),20140104
730288,amino acids + dextrose (VTM),20140202
1220988,amino acids + dextrose + electrolytes + lipids (VTM),20220113
989046,amino acids + dextrose + electrolytes + multivitamins (VTM),20160703
981012,amino acids + dextrose + lipids (VTM),20160417
675515,amino acids + multivitamins (VTM),20140104
719484,aminolevulinic acid (VTM),20140118
238655,aminophylline (VTM),20130805
251024,aminophylline + chlorphenamine maleate + methoxyphenamine + noscapine (VTM),20130805
826714,aminosalicylic acid (VTM),20140721
1013219,amiodarone hydrochloride (VTM),20170902
765226,amiodarone hydrochloride + propofol (VTM),20140407
683874,amisulpride (VTM),20140104
238906,amitriptyline hydrochloride (VTM),20130805
247652,amitriptyline hydrochloride + perphenazine (VTM),20130805
1289972,amivantamab (VTM),20231228
220457,amlodipine (VTM),20130627
220461,amlodipine + atorvastatin (VTM),20130627
732209,amlodipine + benazepril (VTM),20140202
730843,amlodipine + benazepril hydrochloride (VTM),20140202
991588,amlodipine + bisoprolol fumarate (VTM),20160731
954152,amlodipine + candesartan cilexetil (VTM),20150716
220474,amlodipine + hydrochlorothiazide + valsartan (VTM),20130627
1027997,amlodipine + indapamide + perindopril arginine (VTM),20180505
958227,amlodipine + losartan potassium (VTM),20150906
220488,amlodipine + olmesartan medoxomil (VTM),20130627
958236,amlodipine + perindopril arginine (VTM),20150906
220490,amlodipine + telmisartan (VTM),20130627
220501,amlodipine + valsartan (VTM),20130627
900204,ammonia (VTM),20150218
782180,ammonia + ammonium bicarbonate (VTM),20140504
939232,ammonia solution (VTM),20150503
608999,ammonium bicarbonate + dextromethorphan hydrobromide + glycyrrhiza + ipecacuanha (VTM),20141013
932676,ammonium carbonate (VTM),20150418
987105,ammonium carbonate + camphorated opium tincture + glycyrrhiza + squill tincture (VTM),20160605
531466,ammonium carbonate + camphorated opium tincture + senega tincture + squill tincture (VTM),20130914
936343,ammonium carbonate + camphorated opium tincture + squill tincture (VTM),20150503
611922,ammonium carbonate + diphenhydramine hydrochloride (VTM),20131005
810995,ammonium carbonate + glycyrrhiza (VTM),20141012
936273,ammonium carbonate + glycyrrhiza + ipecacuanha (VTM),20150503
949418,ammonium carbonate + glycyrrhiza + senega tincture + squill tincture (VTM),20150614
946522,ammonium carbonate + ipecacuanha + senega tincture (VTM),20150601
916020,ammonium carbonate + liquorice (VTM),20150316
985027,ammonium carbonate + potassium nitrate (VTM),20160515
950350,ammonium carbonate + senega tincture (VTM),20150614
929342,ammonium carbonate + squill tincture (VTM),20150404
934053,ammonium carbonate + strong ammonia solution (VTM),20150503
704885,ammonium carbonate and senega (1/2) mixture (VTM),20140118
704956,ammonium carbonate and senega (1/3) mixture (VTM),20140118
705024,ammonium carbonate and senega (1/4) mixture (VTM),20140118
704816,ammonium carbonate and senega mixture (VTM),20140118
967386,ammonium chloride + brompheniramine maleate + dextromethorphan hydrobromide + phenylephrine hydrochloride (VTM),20160104
967393,ammonium chloride + brompheniramine maleate + guaifenesin + paracetamol + phenylephrine hydrochloride (VTM),20160104
609371,ammonium chloride + calcium pantothenate + dextromethorphan hydrobromide (VTM),20131005
860549,ammonium chloride + chlorphenamine maleate (VTM),20141102
604426,ammonium chloride + chlorphenamine maleate + dextromethorphan hydrobromide (VTM),20131005
604720,ammonium chloride + chlorphenamine maleate + dextromethorphan hydrobromide + glycyrrhiza (VTM),20131005
605753,ammonium chloride + chlorphenamine maleate + dextromethorphan hydrobromide + phenylpropanolamine (VTM),20131005
604777,ammonium chloride + chlorphenamine maleate + dextromethorphan hydrobromide + potassium guaiacolsulfonate (VTM),20131005
606377,ammonium chloride + chlorphenamine maleate + dextromethorphan hydrobromide + pseudoephedrine hydrochloride (VTM),20131005
603624,ammonium chloride + chlorphenamine maleate + guaifenesin (VTM),20131005
967408,ammonium chloride + chlorphenamine maleate + phenylephrine hydrochloride + sodium citrate (VTM),20160104
603047,ammonium chloride + chlorphenamine maleate + potassium guaiacolsulfonate (VTM),20131005
932243,ammonium chloride + chlorphenamine maleate + sodium citrate (VTM),20150418
612286,ammonium chloride + codeine phosphate + diphenhydramine hydrochloride (VTM),20131005
625720,ammonium chloride + cyproheptadine + paracetamol + sodium citrate (VTM),20131005
609079,ammonium chloride + dextromethorphan hydrobromide (VTM),20131005
614195,ammonium chloride + dextromethorphan hydrobromide + diphenhydramine hydrochloride (VTM),20131005
967412,ammonium chloride + dextromethorphan hydrobromide + diphenhydramine hydrochloride + phenylephrine hydrochloride (VTM),20160104
610063,ammonium chloride + dextromethorphan hydrobromide + panthenol (VTM),20131005
896480,ammonium chloride + dextromethorphan hydrobromide + tr.senega b.p.c. (VTM),20150218
955857,ammonium chloride + diphenhydramine hydrochloride (VTM),20150805
614512,ammonium chloride + diphenhydramine hydrochloride + ipecacuanha + potassium citrate (VTM),20141013
611980,ammonium chloride + diphenhydramine hydrochloride + sodium citrate (VTM),20131005
1242201,ammonium chloride + diphenhydramine hydrochloride + sodium citrate dihydrate (VTM),20220915
802730,ammonium chloride + glycyrrhiza + guaifenesin + squill tincture (VTM),20140602
693245,ammonium chloride + guaifenesin (VTM),20140118
728576,ammonium chloride + sodium citrate (VTM),20140118
855993,ammonium molybdate + ascorbic acid + calcium lactate + calcium phosphate + colecalciferol + ferrous gluconate + menadiol sodium diphosphate + nicotinamide + riboflavin + thiamine hydrochloride (VTM),20141019
812034,ammonium molybdate + ascorbic acid + calcium lactate + colecalciferol + dicalcium phosphate + ferrous fumarate + menaphthone sodium bisulfite + nicotinamide + pyridoxine hydrochloride + riboflavin + thiamine mononitrate (VTM),20140616
830321,ammonium molybdate + calciferol + calcium lactate + ferrous fumarate + folic acid + menadione + nicotinamide + riboflavin + thiamine (VTM),20140803
236832,amobarbital + chlorpromazine hydrochloride (VTM),20130805
692990,amorolfine (VTM),20140104
226465,amoxicillin (VTM),20130805
229101,amoxicillin + clavulanic acid (VTM),20130805
271464,amoxicillin + dicloxacillin (VTM),20130805
463101,amoxicillin + sulbactam (VTM),20130805
655114,amphotericin b (VTM),20131102
1017081,amphotericin b + dimethyl sulfoxide (VTM),20171012
1011990,amphotericin b + liposomal agent (VTM),20170806
238395,ampicillin (VTM),20130805
242528,ampicillin + cloxacillin (VTM),20130805
410478,ampicillin + lysozyme hydrochloride (VTM),20130805
540270,ampicillin + sulbactam (VTM),20131005
732094,amylmetacresol + ascorbic acid + dichlorobenzyl alcohol (VTM),20140202
731698,amylmetacresol + dichlorobenzyl alcohol (VTM),20140202
732025,amylmetacresol + dichlorobenzyl alcohol + lidocaine hydrochloride (VTM),20140202
958386,amylocaine hydrochloride + bacitracin + neomycin (VTM),20150910
748933,amylocaine hydrochloride + bacitracin + neomycin sulfate (VTM),20140324
220529,anagrelide (VTM),20130627
220538,anastrozole (VTM),20130627
832886,androstenediol + androstenedione + estrone + pregnenolone + testosterone + thyroid extract (VTM),20140803
854963,anethole + borneol + camphene + cineole + fenchone + pinene alpha + pinene beta (VTM),20141014
776130,anhydrous lanolin + mineral oil + white petrolatum (VTM),20140420
719552,anidulafungin (VTM),20140118
1021172,anise oil + calcium carbonate + cinnamon oil + clove oil + diastase + ginger oil + menthol + scopolia extract + sodium bicarbonate + thiamine mononitrate (VTM),20171213
784152,anise oil + calcium carbonate + cinnamon oil + clove oil + diastase + magnesium aluminometasilicate + orange oil + sodium bicarbonate (VTM),20140504
777211,anise oil + calcium carbonate + cinnamon oil + clove oil + diastase + menthol + oil of ginger + scopolia extract + sodium bicarbonate + thiamine mononitrate (VTM),20140420
955452,anise oil + caraway oil + cardamom oil + catnep + fennel oil + sodium bicarbonate (VTM),20150805
932551,anise oil + ginger tincture + sodium bicarbonate (VTM),20150418
852632,anise oil + menthol + phenyl salicylate (VTM),20141004
960134,anise oil + menthol + salol (VTM),20150922
528892,antazoline hydrochloride + tetryzoline hydrochloride (VTM),20130914
731078,anti-D (rh) immunoglobulin (VTM),20140202
1170377,antigen of human papillomavirus 11 + antigen of human papillomavirus 16 + antigen of human papillomavirus 18 + antigen of human papillomavirus 31 + antigen of human papillomavirus 33 + antigen of human papillomavirus 45 + antigen of human papillomavirus 52 + antigen of human papillomavirus 58 + antigen of human papillomavirus 6 (VTM),20201217
1032977,antigen of human papillomavirus 11 + antigen of human papillomavirus 16 + antigen of human papillomavirus 18 + antigen of human papillomavirus 6 (VTM),20180616
1032996,antigen of human papillomavirus 16 + antigen of human papillomavirus 18 (VTM),20180616
802642,antimony potassium tartrate + camphorated opium tincture + glycyrrhiza (VTM),20140602
531683,antimony potassium tartrate + camphorated opium tincture + liquorice (VTM),20130914
1130756,apalutamide (VTM),20191115
672059,apixaban (VTM),20131215
793287,apomorphine hydrochloride (VTM),20140519
321070,aprepitant (VTM),20130805
726095,aprotinin + calcium chloride + human fibrinogen + thrombin (VTM),20140118
1031579,aprotinin + calcium chloride dihydrate + human fibrinogen + thrombin (VTM),20180601
847976,arachis oil (VTM),20140914
974998,arginine (VTM),20160214
227492,aripiprazole (VTM),20130805
1161644,armodafinil (VTM),20200920
933933,aromatic ammonia spirit + compound gentian tincture + potassium iodide (VTM),20150503
220540,arsenic trioxide (VTM),20130627
732459,artemether + lumefantrine (VTM),20140202
249792,artesunate (VTM),20130805
944622,artesunate + mefloquine (VTM),20150601
1120306,artesunate + pyronaridine tetraphosphate (VTM),20190714
540973,articaine + epinephrine (VTM),20131005
1012461,articaine hydrochloride + epinephrine (VTM),20170806
709922,artificial saliva solution (VTM),20140118
1309084,AS01B adjuvant (VTM),20241005
1305401,AS01E adjuvant (VTM),20240817
487307,asafoetida (VTM),20130830
785032,asafoetida + capsicum + cascara extract + diastase + ginger + nux vomica extract (VTM),20140504
665103,ascorbic acid (VTM),20131116
797652,ascorbic acid + biotin + calcium + colecalciferol + copper sulfate + cyanocobalamin + folic acid + ginseng extract + iron + lecithin + magnesium + manganese + nicotinamide + pyridoxine + retinol + riboflavin + selenium + thiamine + tocopherol + zinc (VTM),20140519
267848,ascorbic acid + brompheniramine maleate (VTM),20130805
886795,ascorbic acid + calciferol + calcium pantothenate + calcium phosphate + cyanocobalamin + ferrous fumarate + folic acid + nicotinamide + potassium iodide + pyridoxine + retinol + riboflavin + thiamine + tocopherol (VTM),20150202
757356,ascorbic acid + calciferol + calcium pantothenate + calcium phosphate + cyanocobalamin + ferrous fumarate + folic acid + nicotinic acid + potassium iodide + pyridoxine + retinol + riboflavin + thiamine + tocopherol (VTM),20140407
220731,ascorbic acid + calcium + chondroitin sulfate + glucosamine sulfate (VTM),20130627
726677,ascorbic acid + calcium carbonate + calcium lactate gluconate (VTM),20140118
781658,ascorbic acid + calcium carbonate + calcium pantothenate + colecalciferol + copper sulfate + cyanocobalamin + ferrous fumarate + folic acid + magnesium oxide + manganese sulfate + nicotinamide + potassium iodide + pyridoxine hydrochloride + retinol + riboflavin + sodium fluoride + thiamine hydrochloride (VTM),20140420
744015,ascorbic acid + calcium carbonate + citric acid + colecalciferol + pyridoxine (VTM),20140304
735269,ascorbic acid + calcium carbonate + colecalciferol + pyridoxine (VTM),20200131
678616,ascorbic acid + calcium d-pantothenate + cyanocobalamin + d-alpha tocopherol + folic acid + niacinamide + pyridoxine hydrochloride + riboflavin + thiamine mononitrate + zinc sulfate (VTM),20140104
789365,ascorbic acid + calcium lactate + calcium pantothenate + colecalciferol + copper + cyanocobalamin + ferrous fumarate + folic acid + iodine + nicotinamide + pyridoxine + retinol + riboflavin + sodium fluoride + thiamine mononitrate (VTM),20140504
994623,ascorbic acid + calcium lactate + colecalciferol + ferrous gluconate + nicotinamide + riboflavin + thiamine hydrochloride + tribasic calcium phosphate (VTM),20161117
859091,ascorbic acid + calcium lactate + cyanocobalamin + ergocalciferol + ferrous fumarate + folic acid + nicotinamide + pyridoxine + riboflavin + thiamine (VTM),20141019
930128,ascorbic acid + calcium lactate + ferrous fumarate + rutoside (VTM),20150418
765469,ascorbic acid + calcium pantothenate + calcium phosphate + ferrous fumarate + folic acid + nicotinamide + sodium fluoride + vitamin A + vitamin B1 + vitamin B12 + vitamin B2 + vitamin B6 + vitamin D3 + vitamin E (VTM),20140407
755996,ascorbic acid + calcium pantothenate + cyanocobalamin + d-alpha tocopherol + ergocalciferol + folic acid + nicotinamide + pyridoxine hydrochloride + riboflavin + thiamine mononitrate + vitamin A acetate (VTM),20140407
775678,ascorbic acid + calcium phosphate + colecalciferol + copper sulfate + cyanocobalamin + dexpanthenol + ferrous fumarate + folic acid + magnesium oxide + magnesium sulfate + nicotinamide + potassium iodide + pyridoxine + retinol + riboflavin + thiamine + tocopherol + zinc sulfate (VTM),20140407
1018713,ascorbic acid + calcium phosphate + cyanocobalamin + ferrous fumarate + folic acid + nicotinamide + potassium iodide + riboflavin + thiamine mononitrate (VTM),20171116
770866,ascorbic acid + calcium phosphate + cyanocobalamin + ferrous fumarate + folic acid + nicotinamide + riboflavin + thiamine (VTM),20140407
830223,ascorbic acid + calcium phosphate + cyanocobalamin + ferrous fumarate + folic acid + nicotinic acid + riboflavin + thiamine (VTM),20140803
788068,ascorbic acid + carotenoid + copper sulfate + tocopherol + zinc oxide (VTM),20140504
281366,ascorbic acid + chlorphenamine maleate (VTM),20130805
622780,ascorbic acid + chlorphenamine maleate + paracetamol (VTM),20131005
958166,ascorbic acid + citrus bioflavonoids extract + hesperidin + malpighia punicifolia extract + rosa canina extract + rutin (VTM),20150818
877520,ascorbic acid + cobalt sulfate + copper sulfate + cyanocobalamin + ferrous fumarate + folic acid (VTM),20150105
851231,ascorbic acid + cobalt sulphate + copper sulfate + cyanocobalamin + dicalcium phosphate + ferrous sulfate + magnesium sulfate + manganese sulfate + nicotinamide + retinol + riboflavin + thiamine (VTM),20141012
748709,ascorbic acid + colecalciferol + cyanocobalamin + nicotinamide + pyridoxine hydrochloride + retinol + riboflavin + thiamine hydrochloride (VTM),20140324
679294,ascorbic acid + colecalciferol + d-alpha tocopherol + thiamine (VTM),20140104
940823,ascorbic acid + colecalciferol + lysine hydrochloride + nicotinamide + pyridoxine hydrochloride + retinol + riboflavin + thiamine hydrochloride (VTM),20150515
787296,ascorbic acid + colecalciferol + nicotinamide + retinol + riboflavin + thiamine (VTM),20140504
1199390,ascorbic acid + colecalciferol + nicotinamide + retinol + riboflavin + thiamine hydrochloride (VTM),20210813
1237966,ascorbic acid + colecalciferol + nicotinamide + retinyl acetate + riboflavin + thiamine mononitrate (VTM),20220618
967505,ascorbic acid + colecalciferol + pyridoxine hydrochloride (VTM),20160104
819250,ascorbic acid + copper + retinol + tocopherol + zinc (VTM),20140705
1042073,ascorbic acid + copper + tocopherol + zinc (VTM),20181103
910250,ascorbic acid + copper sulfate + cyanocobalamin + ferrous fumarate + folic acid + pyridoxine (VTM),20150228
693854,ascorbic acid + copper sulfate + d-alpha tocopherol + natural mixed carotenoids + zinc oxide (VTM),20140118
994337,ascorbic acid + cyanocobalamin + ferrous fumarate + folic acid + nicotinic acid + riboflavin + thiamine hydrochloride + tribasic calcium phosphate (VTM),20161117
