TMTID(GP),FSN,CHANGEDATE
541183,articaine 4 g/100 mL + epinephrine 1 mg/100 mL solution for injection (GP),20131005
541033,articaine 4 g/100 mL + epinephrine 1.2 mg/100 mL solution for injection (GP),20131005
541288,articaine 4 g/100 mL + epinephrine 200 mcg/100 mL solution for injection (GP),20131005
541235,articaine 4 g/100 mL + epinephrine 500 mcg/100 mL solution for injection (GP),20131005
540987,articaine 4 g/100 mL + epinephrine 600 mcg/100 mL solution for injection (GP),20131005
541080,articaine hydrochloride 4 g/100 mL + epinephrine 1 mg/100 mL solution for injection (GP),20171202
541131,articaine hydrochloride 4 g/100 mL + epinephrine 500 mcg/100 mL solution for injection (GP),20171202
1012474,articaine hydrochloride 68 mg/1.7 mL + epinephrine 17 mcg/1.7 mL solution for injection (GP),20170806
900483,artificial saliva solution oral solution (GP),20150502
709933,artificial saliva solution oromucosal solution (GP),20140118
1309078,AS01B adjuvant 50 mcg/0.5 mL suspension for suspension for injection (GP),20241005
1305396,AS01E adjuvant 50 mcg/0.5 mL suspension for suspension for injection (GP),20241004
487395,asafoetida 20 g/100 mL cutaneous solution (GP),20130830
785045,asafoetida 325 mcg + capsicum 8 mg + cascara extract 65 mg + diastase 3 mg + ginger 48 mg + nux vomica extract 16 mg coated tablet (GP),20140504
795369,ascorbic acid 1 g + calcium carbonate 327 mg + calcium lactate gluconate 1 g effervescent tablet (GP),20140519
744027,ascorbic acid 1 g + calcium carbonate 625 mg + citric acid 1.35 g + colecalciferol 300 iu + pyridoxine 15 mg effervescent tablet (GP),20140304
735276,ascorbic acid 1 g + calcium carbonate 625 mg + colecalciferol 300 iu + pyridoxine 15 mg effervescent tablet (GP),20200131
863121,ascorbic acid 1 g + calcium carbonate 625 mg + colecalciferol 7.5 mcg + pyridoxine 15 mg effervescent tablet (GP),20200131
958178,ascorbic acid 1 g + citrus bioflavonoids extract 50 mg + hesperidin 50 mg + malpighia punicifolia extract 12.5 mg + rosa canina extract 62.5 mg + rutin 50 mg film-coated tablet (GP),20150818
678709,ascorbic acid 1 g + colecalciferol 300 iu + pyridoxine hydrochloride 15 mg tablet (GP),20190203
678064,ascorbic acid 1 g + zinc 10 mg effervescent tablet (GP),20140104
716564,ascorbic acid 1 g film-coated tablet (GP),20140118
864442,ascorbic acid 1 g tablet (GP),20141123
789377,ascorbic acid 100 mg + calcium lactate 250 mg + calcium pantothenate 7.5 mg + colecalciferol 400 iu + copper 100 mcg + cyanocobalamin 4 mcg + ferrous fumarate 90 mg + folic acid 250 mcg + iodine 200 mcg + nicotinamide 20 mg + pyridoxine 15 mg + retinol 5000 iu + riboflavin 2.5 mg + sodium fluoride 1 mg + thiamine mononitrate 10 mg film-coated tablet (GP),20140504
281378,ascorbic acid 100 mg + chlorphenamine maleate 4 mg coated tablet (GP),20130805
760125,"ascorbic acid 100 mg + dry ruscus extract in sterolic heterosides 150 mg + hesperidin methyl chalcone 150 mg capsule, hard (GP)",20140407
732617,"ascorbic acid 100 mg + hesperidin methyl chalcone 150 mg + root extract of the ruscus aculeatus plant 150 mg capsule, hard (GP)",20140202
822457,ascorbic acid 100 mg chewable tablet (GP),20140705
782237,ascorbic acid 100 mg coated tablet (GP),20140504
665277,ascorbic acid 100 mg tablet (GP),20131116
992315,ascorbic acid 100 mg/1 mL solution for injection (GP),20160811
910820,ascorbic acid 100 mg/100 mL + dextrose monohydrate 5 g/100 mL + nicotinamide 125 mg/100 mL + panthenol 50 mg/100 mL + pyridoxine 5 mg/100 mL + riboflavin 5 mg/100 mL + thiamine 25 mg/100 mL solution for infusion (GP),20150228
819266,ascorbic acid 113 mg + copper 400 mcg + retinol 4.3 mg + tocopherol 100 mg + zinc 17.4 mg film-coated tablet (GP),20140705
994634,ascorbic acid 15 mg + calcium lactate 37.5 mg + colecalciferol 200 iu + ferrous gluconate 250 mg + nicotinamide 10 mg + riboflavin 1 mg + thiamine hydrochloride 5 mg + tribasic calcium phosphate 87.5 mg coated tablet (GP),20190516
1199405,ascorbic acid 15 mg + colecalciferol 200 iu + nicotinamide 7.5 mg + retinol 2500 iu + riboflavin 1 mg + thiamine hydrochloride 1 mg coated tablet (GP),20210813
787306,ascorbic acid 15 mg + colecalciferol 3 mg + nicotinamide 7.5 mg + retinol 5 mg + riboflavin 500 mcg + thiamine 1 mg coated tablet (GP),20140504
869675,"ascorbic acid 15 mg + colecalciferol 300 iu + nicotinamide 7.5 mg + retinol 2500 iu + riboflavin 500 mcg + thiamine 1 mg capsule, soft (GP)",20141129
1130610,ascorbic acid 15 mg + colecalciferol 300 iu + nicotinamide 7.5 mg + retinol 2500 iu + riboflavin 500 mcg + thiamine 1 mg coated tablet (GP),20191115
768133,ascorbic acid 15 mg + colecalciferol 300 iu + nicotinamide 7.5 mg + retinol 2500 iu + riboflavin 500 mcg + thiamine 1 mg film-coated tablet (GP),20190203
1237978,ascorbic acid 15 mg + colecalciferol 300 iu + nicotinamide 7.5 mg + retinyl acetate 2500 iu + riboflavin 500 mcg + thiamine mononitrate 1 mg coated tablet (GP),20220620
748713,ascorbic acid 15 mg + colecalciferol 400 iu + cyanocobalamin 10 mcg + nicotinamide 10 mg + pyridoxine hydrochloride 2 mg + retinol 5000 iu + riboflavin 2 mg + thiamine hydrochloride 5 mg coated tablet (GP),20140324
1220167,ascorbic acid 15 mg + ergocalciferol 200 iu + niacinamide 7.5 mg + pyridoxine hydrochloride 500 mcg + retinol 2500 iu + riboflavin 1 mg + thiamine hydrochloride 1 mg coated tablet (GP),20211230
858200,ascorbic acid 15 mg + ergocalciferol 200 iu + nicotinamide 7.5 mg + retinol 2500 iu + riboflavin 1 mg + thiamine 1 mg coated tablet (GP),20141019
910266,"ascorbic acid 150 mg + copper sulfate 5 mg + cyanocobalamin 15 mcg + ferrous fumarate 350 mg + folic acid 1.5 mg + pyridoxine 1.5 mg capsule, hard (GP)",20150228
734231,"ascorbic acid 150 mg + hesperidin methyl chalcone 150 mg + root extract of the ruscus aculeatus plant 100 mg capsule, hard (GP)",20140202
992389,ascorbic acid 2.5 g/10 mL solution for injection (GP),20160811
1018721,ascorbic acid 20 mg + calcium phosphate 100 mg + cyanocobalamin 5 mcg + ferrous fumarate 200 mg + folic acid 100 mcg + nicotinamide 10 mg + potassium iodide 170 mcg + riboflavin 2 mg + thiamine mononitrate 2 mg film-coated tablet (GP),20171116
770878,ascorbic acid 20 mg + calcium phosphate 100 mg + cyanocobalamin 5 mcg + ferrous fumarate 200 mg + folic acid 100 mcg + nicotinamide 10 mg + riboflavin 2 mg + thiamine 2 mg film-coated tablet (GP),20140407
843321,ascorbic acid 20 mg + calcium phosphate 100 mg + cyanocobalamin 5 mcg + ferrous fumarate 200 mg + folic acid 100 mcg + nicotinic acid 10 mg + riboflavin 2 mg + thiamine 2 mg film-coated tablet (GP),20181216
877531,ascorbic acid 20 mg + cobalt sulfate 600 mcg + copper sulfate 2.5 mg + cyanocobalamin 15 mcg + ferrous fumarate 76 mg + folic acid 1 mg coated tablet (GP),20180713
846318,ascorbic acid 20 mg + cyanocobalamin 5 mcg + ferrous fumarate 200 mg + folic acid 100 mcg + nicotinic acid 10 mg + riboflavin 2 mg + thiamine hydrochloride 2 mg + tribasic calcium phosphate 100 mg film-coated tablet (GP),20161106
940834,ascorbic acid 20 mg/5 mL + colecalciferol 100 iu/5 mL + lysine hydrochloride 50 mg/5 mL + nicotinamide 20 mg/5 mL + pyridoxine hydrochloride 1 mg/5 mL + retinol 1000 iu/5 mL + riboflavin 2 mg/5 mL + thiamine hydrochloride 5 mg/5 mL syrup (GP),20150515
788075,"ascorbic acid 200 mg + carotenoid 50 mg + copper sulfate 2.51 mg + tocopherol 200 iu + zinc oxide 37.5 mg capsule, soft (GP)",20140504
693865,"ascorbic acid 200 mg + copper sulfate 1 mg + d-alpha tocopherol 200 iu + natural mixed carotenoids 50 mg + zinc oxide 30 mg capsule, soft (GP)",20140118
791150,ascorbic acid 25 g/100 mL solution for injection (GP),20160811
930137,ascorbic acid 25 mg + calcium lactate 300 mg + ferrous fumarate 50 mg + rutoside 10 mg tablet (GP),20150418
859101,ascorbic acid 25 mg + calcium lactate 50 mg + cyanocobalamin 10 mcg + ergocalciferol 133 iu + ferrous fumarate 250 mg + folic acid 500 mcg + nicotinamide 20 mg + pyridoxine 1 mg + riboflavin 5 mg + thiamine 25 mg film-coated tablet (GP),20141019
871940,ascorbic acid 25 mg tablet (GP),20141129
625643,ascorbic acid 25 mg/5 mL + chlorphenamine maleate 1 mg/5 mL + paracetamol 120 mg/5 mL syrup (GP),20131005
726683,ascorbic acid 250 mg + calcium carbonate 81.75 mg + calcium lactate gluconate 250 mg chewable tablet (GP),20140118
1042087,ascorbic acid 250 mg + copper 1 mg + tocopherol 200 iu + zinc 40 mg film-coated tablet (GP),20181103
748853,ascorbic acid 250 mg + sodium ascorbate 281.25 mg film-coated tablet (GP),20210331
743681,ascorbic acid 250 mg + sodium ascorbate 281.25 mg tablet (GP),20140304
873728,ascorbic acid 250 mg tablet (GP),20141214
756003,ascorbic acid 30 mg + calcium pantothenate 3 mg + cyanocobalamin 1 mcg + d-alpha tocopherol 200 mcg + ergocalciferol 400 iu + folic acid 100 mcg + nicotinamide 10 mg + pyridoxine hydrochloride 1 mg + riboflavin 2 mg + thiamine mononitrate 5 mg + vitamin A acetate 5000 unit coated tablet (GP),20190203
678628,ascorbic acid 300 mg + calcium d-pantothenate 15 mg + cyanocobalamin 25 mcg + d-alpha tocopherol 30 iu + folic acid 200 mcg + niacinamide 25 mg + pyridoxine hydrochloride 10 mg + riboflavin 15 mg + thiamine mononitrate 10 mg + zinc sulfate 80 mg film-coated tablet (GP),20190215
851249,ascorbic acid 5 mg + cobalt sulphate 100 mcg + copper sulfate 700 mcg + cyanocobalamin 1 mcg + dicalcium phosphate 187 mg + ferrous sulfate 11.37 mg + magnesium sulfate 13.5 mg + manganese sulfate 1.18 mg + nicotinamide 4 mg + retinol 1000 iu + riboflavin 1 mg + thiamine 1 mg coated tablet (GP),20141004
267853,ascorbic acid 50 mg + brompheniramine maleate 4 mg film-coated tablet (GP),20150922
757360,ascorbic acid 50 mg + calciferol 400 iu + calcium pantothenate 10 mg + calcium phosphate 250 mg + cyanocobalamin 6 mcg + ferrous fumarate 150 mg + folic acid 500 mcg + nicotinic acid 20 mg + potassium iodide 150 mcg + pyridoxine 4 mg + retinol 5000 iu + riboflavin 2 mg + thiamine 3 mg + tocopherol 15 iu film-coated tablet (GP),20140407
886805,ascorbic acid 50 mg + calciferol 400 iu + calcium pantothenate 10 mg + calcium phosphate 250 mg + cyanocobalamin 6 mg + ferrous fumarate 150 mg + folic acid 500 mcg + nicotinamide 20 mg + potassium iodide 150 mcg + pyridoxine 4 mg + retinol 5000 iu + riboflavin 2 mg + thiamine 3 mg + tocopherol 15 iu film-coated tablet (GP),20150202
860963,"ascorbic acid 50 mg + cyanocobalamin 15 mcg + ferrous fumarate 60 mg + folic acid 800 mcg + riboflavin 5 mg capsule, soft (GP)",20141102
845301,ascorbic acid 50 mg + cyanocobalamin 5 mcg + pyridoxine 5 mg + riboflavin 5 mg + thiamine 50 mg coated tablet (GP),20140914
818120,ascorbic acid 50 mg + dequalinium chloride 250 mcg lozenge (GP),20140705
736206,ascorbic acid 50 mg tablet (GP),20140214
596494,ascorbic acid 50 mg/5 mL + brompheniramine maleate 2 mg/5 mL oral solution (GP),20150909
622798,ascorbic acid 50 mg/5 mL + chlorphenamine maleate 2 mg/5 mL + paracetamol 120 mg/5 mL syrup (GP),20131005
989165,ascorbic acid 50 mg/5 mL + cyanocobalamin 4 mcg/5 mL + nicotinamide 1 mg/5 mL + pyridoxine hydrochloride 10 mg/5 mL + riboflavin 2 mg/5 mL + thiamine hydrochloride 2 mg/5 mL syrup (GP),20160703
758189,"ascorbic acid 500 mg capsule, hard (GP)",20140407
726608,ascorbic acid 500 mg chewable tablet (GP),20140118
693746,ascorbic acid 500 mg film-coated tablet (GP),20140118
1157024,"ascorbic acid 500 mg prolonged-release capsule, hard (GP)",20200801
665323,ascorbic acid 500 mg tablet (GP),20131116
857428,ascorbic acid 500 mg/2 mL solution for injection (GP),20141019
992358,ascorbic acid 500 mg/5 mL solution for injection (GP),20160811
797668,"ascorbic acid 60 mg + biotin 150 mcg + calcium 100 mg + colecalciferol 200 iu + copper sulfate 2 mg + cyanocobalamin 1 mcg + folic acid 0.1 mg + ginseng extract 40 mg + iron 10 mg + lecithin 100 mg + magnesium 10 mg + manganese 2.5 mg + nicotinamide 18 mg + pyridoxine 2 mg + retinol 2667 iu + riboflavin 1.6 mg + selenium 50 mcg + thiamine 1.4 mg + tocopherol 14.9 mg + zinc 1 mg capsule, soft (GP)",20140519
765476,ascorbic acid 60 mg + calcium pantothenate 5 mg + calcium phosphate 200 mg + ferrous fumarate 180 mg + folic acid 400 mcg + nicotinamide 15 mg + sodium fluoride 1 mg + vitamin A 6 mg + vitamin B1 2.5 mg + vitamin B12 5 mcg + vitamin B2 2 mg + vitamin B6 2.5 mg + vitamin D3 4 mg + vitamin E 30 mg film-coated tablet (GP),20140407
679304,"ascorbic acid 60 mg + colecalciferol 200 mcg + d-alpha tocopherol 27.27 mg + thiamine 3 mg capsule, soft (GP)",20190203
1030612,ascorbic acid 700 mg/100 mL + glycerol 48.7 mL/100 mL oral solution (GP),20180518
211256,"ascorbic acid 75 mg + calcium 50 mg + chondroitin sulfate 100 mg + glucosamine sulfate 410 mg capsule, soft (GP)",20130627
781662,ascorbic acid 75 mg + calcium carbonate 250 mg + calcium pantothenate 5 mg + colecalciferol 400 iu + copper sulfate 400 mcg + cyanocobalamin 2 mcg + ferrous fumarate 150 mg + folic acid 250 mcg + magnesium oxide 8.4 mg + manganese sulfate 3 mg + nicotinamide 20 mg + potassium iodide 200 mcg + pyridoxine hydrochloride 2 mg + retinol 5000 iu + riboflavin 3 mg + sodium fluoride 1 mg + thiamine hydrochloride 2 mg coated tablet (GP),20190203
775684,"ascorbic acid 75 mg + calcium phosphate 70 mg + colecalciferol 400 iu + copper sulfate 100 mcg + cyanocobalamin 5 mcg + dexpanthenol 5 mg + ferrous fumarate 50 mg + folic acid 1 g + magnesium oxide 500 mcg + magnesium sulfate 10 mcg + nicotinamide 45 mg + potassium iodide 25 mcg + pyridoxine 2 mg + retinol 5000 iu + riboflavin 5 mg + thiamine 5 mg + tocopherol 15 mg + zinc sulfate 50 mg capsule, soft (GP)",20190301
1050892,ascorbic acid 750 mg tablet (GP),20190120
520397,asparaginase 10000 iu powder for solution for infusion (GP),20240516
828055,aspartame 19 mg tablet (GP),20140721
210804,aspirin 100 mg + clopidogrel 75 mg film-coated tablet (GP),20130627
252253,aspirin 100 mg film-coated tablet (GP),20130805
252754,aspirin 100 mg tablet (GP),20130805
252367,aspirin 130 mg suppository (GP),20130805
252572,aspirin 162 mg tablet (GP),20130805
249873,aspirin 165 mg coated tablet (GP),20130805
461722,aspirin 225 mg + caffeine 60 mg + paracetamol 150 mg tablet (GP),20130805
210827,"aspirin 25 mg + dipyridamole 200 mg prolonged-release capsule, hard (GP)",20141102
541513,aspirin 250 mg/5 mL + sodium bicarbonate 250 mg/5 mL solution for injection (GP),20131005
742194,aspirin 300 mg + caffeine 30 mg + paracetamol 250 mg tablet (GP),20140304
226939,"aspirin 300 mg capsule, hard (GP)",20130805
245437,aspirin 300 mg coated tablet (GP),20130805
250303,aspirin 300 mg film-coated tablet (GP),20130805
810734,aspirin 300 mg gastro-resistant tablet (GP),20140616
249716,aspirin 300 mg tablet (GP),20130805
252806,aspirin 324 mg effervescent tablet (GP),20130805
226790,aspirin 325 mg film-coated tablet (GP),20130805
226757,aspirin 325 mg tablet (GP),20130805
269845,aspirin 450 mg tablet (GP),20130805
258951,aspirin 500 mg chewable tablet (GP),20130805
251974,aspirin 500 mg film-coated tablet (GP),20130805
226844,aspirin 500 mg tablet (GP),20130805
245503,aspirin 60 mg coated tablet (GP),20130805
250147,aspirin 60 mg film-coated tablet (GP),20130805
250737,aspirin 60 mg tablet (GP),20130805
251466,aspirin 600 mg coated tablet (GP),20130805
252909,aspirin 65 mg film-coated tablet (GP),20130805
248997,aspirin 65 mg tablet (GP),20130805
226892,aspirin 650 mg film-coated tablet (GP),20130805
210815,aspirin 75 mg + clopidogrel 75 mg film-coated tablet (GP),20130627
258830,aspirin 75 mg film-coated tablet (GP),20130805
251292,aspirin 75 mg tablet (GP),20130805
251552,aspirin 80 mg chewable tablet (GP),20130805
811281,aspirin 81 mg chewable tablet (GP),20140616
226338,aspirin 81 mg film-coated tablet (GP),20130805
768450,aspirin 81 mg gastro-resistant tablet (GP),20140407
252118,aspirin 81 mg tablet (GP),20130805
426357,"atazanavir 100 mg capsule, hard (GP)",20130805
426422,"atazanavir 150 mg capsule, hard (GP)",20130805
426498,"atazanavir 200 mg capsule, hard (GP)",20130805
426569,"atazanavir 300 mg capsule, hard (GP)",20130805
454368,atenolol 100 mg + chlortalidone 25 mg film-coated tablet (GP),20130805
246296,atenolol 100 mg film-coated tablet (GP),20130805
253584,atenolol 100 mg tablet (GP),20130805
1265866,atenolol 2 mg/1 mL oral suspension (GP),20230617
253955,atenolol 25 mg film-coated tablet (GP),20130805
273139,atenolol 25 mg tablet (GP),20130805
454310,atenolol 50 mg + chlortalidone 12.5 mg film-coated tablet (GP),20130805
246347,atenolol 50 mg film-coated tablet (GP),20130805
253647,atenolol 50 mg tablet (GP),20130805
1013407,atezolizumab 1.2 g/20 mL concentrate for solution for infusion (GP),20170902
1307132,atezolizumab 1.875 g/15 mL solution for injection (GP),20240831
1121693,atezolizumab 840 mg/14 mL concentrate for solution for infusion (GP),20190803
650297,"atomoxetine 10 mg capsule, hard (GP)",20131005
650348,"atomoxetine 18 mg capsule, hard (GP)",20131005
650395,"atomoxetine 25 mg capsule, hard (GP)",20131005
650444,"atomoxetine 40 mg capsule, hard (GP)",20131005
650492,"atomoxetine 60 mg capsule, hard (GP)",20131005
1119568,atorvastatin 10 mg + ezetimibe 10 mg film-coated tablet (GP),20190714
749857,atorvastatin 10 mg film-coated tablet (GP),20140324
1245681,atorvastatin 20 mg + ezetimibe 10 mg film-coated tablet (GP),20221104
749890,atorvastatin 20 mg film-coated tablet (GP),20150920
1245760,atorvastatin 40 mg + ezetimibe 10 mg film-coated tablet (GP),20221104
693910,atorvastatin 40 mg film-coated tablet (GP),20140118
750013,atorvastatin 80 mg film-coated tablet (GP),20140324
840876,atosiban 37.5 mg/5 mL concentrate for solution for infusion (GP),20161231
840914,atosiban 6.75 mg/0.9 mL solution for injection (GP),20161231
732705,atovaquone 250 mg + proguanil hydrochloride 100 mg film-coated tablet (GP),20140215
734040,atovaquone 62.5 mg + proguanil hydrochloride 25 mg film-coated tablet (GP),20140215
836131,atracurium besilate 10 mg/1 mL solution for injection/infusion (GP),20140816
1013067,atracurium besilate 25 mg/2.5 mL solution for injection/infusion (GP),20170902
1013079,atracurium besilate 50 mg/5 mL solution for injection/infusion (GP),20170902
658667,"atropine sulfate 1 g/100 mL eye drops, solution (GP)",20170218
1129253,atropine sulfate 1 mg/1 mL solution for injection (GP),20191019
1157631,"atropine sulfate 10 mg/100 mL eye drops, solution (GP)",20200815
531076,atropine sulfate 25 mcg + diphenoxylate hydrochloride 2.5 mg tablet (GP),20141007
1265930,"atropine sulfate 25 mg/100 mL ear/eye drops, solution (GP)",20230617
1221956,"atropine sulfate 50 mg/100 mL eye drops, solution (GP)",20220203
905824,atropine sulfate 500 mcg/1 mL solution for injection (GP),20150228
1009591,"atropine sulfate 500 mg/100 mL eye drops, solution (GP)",20170602
955045,atropine sulfate 600 mcg tablet (GP),20150805
770061,atropine sulfate 600 mcg/1 mL solution for injection (GP),20170218
1121849,"autologous platelet-rich plasma 100 mL/100 mL eye drops, solution (GP)",20190803
1121906,"autologous platelet-rich plasma 20 mL/100 mL eye drops, solution (GP)",20190803
1121883,"autologous platelet-rich plasma 40 mL/100 mL eye drops, solution (GP)",20190803
1121865,"autologous platelet-rich plasma 50 mL/100 mL eye drops, solution (GP)",20190803
1133581,avibactam 500 mg + ceftazidime 2 g powder for concentrate for solution for infusion (GP),20191212
907985,axitinib 1 mg film-coated tablet (GP),20150228
908036,axitinib 5 mg film-coated tablet (GP),20150228
210870,azacitidine 100 mg powder for suspension for injection (GP),20160128
1293460,azacitidine 200 mg film-coated tablet (GP),20240313
1293559,azacitidine 300 mg film-coated tablet (GP),20240313
648940,"azapropazone 300 mg capsule, hard (GP)",20131005
648993,azapropazone 600 mg film-coated tablet (GP),20131005
210889,azathioprine 50 mg film-coated tablet (GP),20130627
210891,azathioprine 50 mg tablet (GP),20130627
649767,azelaic acid 20 g/100 g cream (GP),20131005
1012945,"azelastine hydrochloride 137 mcg/1 actuation + fluticasone propionate 50 mcg/1 actuation nasal spray, suspension (GP)",20170819
693981,azilsartan medoxomil 40 mg + chlortalidone 12.5 mg film-coated tablet (GP),20160305
776195,azilsartan medoxomil 40 mg + chlortalidone 25 mg film-coated tablet (GP),20160305
484701,azilsartan medoxomil 40 mg tablet (GP),20130805
484651,azilsartan medoxomil 80 mg tablet (GP),20130805
662472,azithromycin 100 mg powder for oral suspension (GP),20160917
1213173,azithromycin 100 mg/5 mL powder for oral suspension (GP),20211202
780456,"azithromycin 15 mg/1 g eye drops, solution (GP)",20140420
691248,azithromycin 2 g powder for oral suspension (GP),20140104
865384,azithromycin 200 mg/5 mL powder for oral suspension (GP),20160917
256278,"azithromycin 250 mg capsule, hard (GP)",20130805
482106,azithromycin 250 mg film-coated tablet (GP),20130805
662515,azithromycin 500 mg powder for solution for infusion (GP),20160417
482152,azithromycin 600 mg film-coated tablet (GP),20130805
1024599,bacillus clausii 2 billion spores/5 mL oral suspension (GP),20180215
672490,"bacillus of calmette and guerin, live attenuated 200000 cfu powder and solvent for suspension for injection (GP)",20131215
1104828,"bacillus of calmette and guerin, live attenuated 200000000 cfu powder and solvent for suspension for injection (GP)",20190331
514224,bacitracin 25000 iu/100 g + neomycin 500 mg/100 g ointment (GP),20130830
514173,bacitracin 50000 iu/100 g + neomycin 350 mg/100 g ointment (GP),20130830
1157413,bacitracin 75 iu/1 g + clioquinol 30 mg/1 g + neomycin sulfate 2.5 mg/1 g cutaneous powder (GP),20200814
905914,bacitracin 750 iu/10 g + clioquinol 300 mg/10 g + neomycin 25 mg/10 g cutaneous powder (GP),20161017
514351,bacitracin 7500 iu/100 g + clioquinol 3 g/100 g + neomycin 250 mg/100 g cutaneous powder (GP),20130830
514282,bacitracin zinc 25000 iu/100 g + neomycin 500 mg/100 g cutaneous powder (GP),20200814
514457,bacitracin zinc 40000 iu/100 g + neomycin 350 mg/100 g + polymyxin b sulfate 500000 iu/100 g ointment (GP),20130830
248474,baclofen 10 mg tablet (GP),20130805
1156911,baclofen 2 mg/1 mL oral suspension (GP),20200801
771867,baclofen 2.5 mg/1 mL syrup (GP),20140407
1043988,bacterial lysate 50 mg sublingual tablet (GP),20181129
730718,balanced and isotonic ringer's acetate solution for infusion (GP),20140202
1122013,baloxavir marboxil 20 mg film-coated tablet (GP),20190803
643491,bambuterol hydrochloride 10 mg tablet (GP),20131005
777538,banded krait antivenin 600 mcg/1 mL + cobra antivenin 600 mcg/1 mL + king cobra antivenin 800 mcg/1 mL + malayan krait antivenin 400 mcg/1 mL powder and solvent for solution for injection (GP),20180831
770019,banded krait antivenin 600 mcg/1 mL powder and solvent for solution for injection (GP),20160214
784524,baptisia 10 mg + echinacea 7.5 mg + thuja occidentalis 2 mg chewable tablet (GP),20140504
1112969,baricitinib 2 mg film-coated tablet (GP),20190516
1113054,baricitinib 4 mg film-coated tablet (GP),20190516
809825,barium sulfate 140 g/100 mL oral/rectal suspension (GP),20150802
984398,barium sulfate 30 g/100 mL oral suspension (GP),20160515
1112205,barium sulfate 30 g/100 mL powder for oral suspension (GP),20190504
903744,barium sulfate 92 g/100 g powder for oral suspension (GP),20150228
903785,barium sulfate 92 g/100 g powder for rectal solution (GP),20150228
903697,barium sulfate 95 g/100 g powder for oral suspension (GP),20150228
719654,barium sulfate 97.98 g/100 g powder for oral solution (GP),20140118
210917,"barnidipine hydrochloride 10 mg capsule, hard (GP)",20150703
210929,"barnidipine hydrochloride 10 mg prolonged-release capsule, hard (GP)",20150802
210938,"barnidipine hydrochloride 15 mg capsule, hard (GP)",20150703
210940,"barnidipine hydrochloride 15 mg prolonged-release capsule, hard (GP)",20150802
210955,basiliximab 10 mg powder and solvent for solution for injection (GP),20180518
210964,basiliximab 20 mg powder for solution for injection (GP),20130627
210972,BCG vaccine 81 mg powder and solvent for suspension for injection (GP),20150805
210986,BCG vaccine 81 mg powder for solution for injection (GP),20130627
994836,BDDE-crosslinked sodium hyaluronate 60 mg/3 mL gel for injection (GP),20170204
730371,"beclometasone dipropionate 100 mcg/1 dose + formoterol fumarate dihydrate 6 mcg/1 dose pressurised inhalation, solution (GP)",20140202
730411,"beclometasone dipropionate 100 mcg/1 dose nasal spray, suspension (GP)",20150922
778815,"beclometasone dipropionate 100 mcg/1 dose pressurised inhalation, solution (GP)",20140420
780635,beclometasone dipropionate 200 mcg/1 dose inhalation powder (GP),20160305
719727,"beclometasone dipropionate 250 mcg/1 dose pressurised inhalation, solution (GP)",20140118
881605,"beclometasone dipropionate 50 mcg + salbutamol 100 mcg/1 dose inhalation vapour, solution (GP)",20150119
802223,"beclometasone dipropionate 50 mcg/1 dose nasal spray, solution (GP)",20150922
793819,"beclometasone dipropionate 50 mcg/1 dose nasal spray, suspension (GP)",20150922
719770,"beclometasone dipropionate 50 mcg/1 dose pressurised inhalation, solution (GP)",20140118
1136585,bedaquiline 100 mg tablet (GP),20200213
934683,bees wax 3.84 g/100 g + mineral oil 10 mL/100 g + sulfur 6 g/100 g + white petrolatum 72.93 g/100 g ointment (GP),20150503
886592,belimumab 120 mg powder for concentrate for solution for infusion (GP),20150202
886642,belimumab 400 mg powder for concentrate for solution for infusion (GP),20150202
867935,belladonna 15 mg + dihydroxyaluminium aminoacetate 500 mg chewable tablet (GP),20141123
782620,belladonna 6 mg + charcoal 100 mg + magnesium hydroxide 150 mg + peppermint oil 3 mcL tablet (GP),20140504
793066,belladonna 900 mcg + creosote 15 mcL + menthol 5 mg + phenyl salicylate 20 mg tablet (GP),20140519
533647,belladonna dry extract 10 mg + ergotamine tartrate 300 mcg + phenobarbitone 20 mg tablet (GP),20130914
946987,belladonna extract 1.5 g/100 mL cutaneous liquid (GP),20150601
1121557,bemiparin sodium 10000 iu/0.4 mL solution for injection (GP),20190803
1172742,bemiparin sodium 2500 iu/0.2 mL solution for injection (GP),20210129
1121348,bemiparin sodium 3500 iu/0.2 mL solution for injection (GP),20190803
1121416,bemiparin sodium 5000 iu/0.2 mL solution for injection (GP),20190803
1121485,bemiparin sodium 7500 iu/0.3 mL solution for injection (GP),20190803
1307227,bempedoic acid 180 mg + ezetimibe 10 mg film-coated tablet (GP),20240831
1305884,bempedoic acid 180 mg film-coated tablet (GP),20240831
957064,bendamustine hydrochloride 100 mg powder for concentrate for solution for infusion (GP),20150909
957119,bendamustine hydrochloride 25 mg powder for concentrate for solution for infusion (GP),20150817
1053621,benfotiamine 150 mg coated tablet (GP),20190216
1124718,benralizumab 30 mg/1 mL solution for injection (GP),20190913
276915,"benserazide 200 mg + levodopa 50 mg capsule, hard (GP)",20130805
359341,"benserazide 25 mg + levodopa 100 mg capsule, hard (GP)",20130805
365506,benserazide 25 mg + levodopa 100 mg dispersible tablet (GP),20161003
1027810,"benserazide 25 mg + levodopa 100 mg prolonged-release capsule, hard (GP)",20180412
273810,benserazide 250 mg + levodopa 25 mg tablet (GP),20130805
359409,benserazide 50 mg + levodopa 200 mg tablet (GP),20130805
1122729,bentonite 7 g/100 mL oral solution (GP),20190815
