TMTID(SUBS),FSN,CHANGEDATE
1170331,antigen of human papillomavirus 58 (SUBS),20201217
735720,antigen of human papillomavirus 6 (SUBS),20180616
531665,antimony potassium tartrate (SUBS),20130914
1130739,apalutamide (SUBS),20191115
672037,apixaban (SUBS),20131215
793260,apomorphine hydrochloride (SUBS),20140519
321058,aprepitant (SUBS),20130805
726069,aprotinin (SUBS),20140118
847953,arachis oil (SUBS),20140914
854315,arginine (SUBS),20150801
227471,aripiprazole (SUBS),20130805
1161628,armodafinil (SUBS),20200920
709135,aromatic ammonia spirit (SUBS),20140118
223298,arsenic trioxide (SUBS),20130627
732416,artemether (SUBS),20140202
249771,artesunate (SUBS),20130805
540941,articaine (SUBS),20131005
1012435,articaine hydrochloride (SUBS),20170806
709905,artificial saliva solution (SUBS),20140118
1309066,AS01B adjuvant (SUBS),20241005
1305383,AS01E adjuvant (SUBS),20241004
487284,asafoetida (SUBS),20130830
225901,ascorbic acid (SUBS),20131018
520366,asparaginase (SUBS),20150801
828029,aspartame (SUBS),20140721
854336,aspartic acid (SUBS),20150801
223308,aspirin (SUBS),20130627
426326,atazanavir (SUBS),20130805
945634,atazanavir sulfate (SUBS),20151207
246265,atenolol (SUBS),20130805
1013371,atezolizumab (SUBS),20170902
650266,atomoxetine (SUBS),20131005
223312,atorvastatin (SUBS),20130627
223320,atorvastatin calcium (SUBS),20151207
840848,atosiban (SUBS),20140817
732655,atovaquone (SUBS),20140202
768990,atracurium besilate (SUBS),20150116
756057,atropine sulfate (SUBS),20150801
1121812,autologous platelet-rich plasma (SUBS),20190803
1133552,avibactam (SUBS),20191212
907959,axitinib (SUBS),20150228
223331,azacitidine (SUBS),20130627
648917,azapropazone (SUBS),20131005
223349,azathioprine (SUBS),20130627
649733,azelaic acid (SUBS),20131005
1012909,azelastine hydrochloride (SUBS),20170819
484622,azilsartan medoxomil (SUBS),20130805
256245,azithromycin (SUBS),20130805
882266,B/shanghai/361/2002 like strain used B/jiangsu/10/2003 (SUBS),20150119
1024568,bacillus clausii (SUBS),20180215
672461,"bacillus of calmette and guerin, live attenuated (SUBS)",20131215
514141,bacitracin (SUBS),20141019
1157394,bacitracin zinc (SUBS),20200814
248442,baclofen (SUBS),20130805
1043957,bacterial lysate (SUBS),20181129
730681,balanced and isotonic ringer's acetate (SUBS),20141007
1121981,baloxavir marboxil (SUBS),20190803
643462,bambuterol hydrochloride (SUBS),20161106
769983,banded krait antivenin (SUBS),20160214
784451,baptisia (SUBS),20140504
1112930,baricitinib (SUBS),20190516
719620,barium sulfate (SUBS),20140118
