TMTID(SUBS),FSN,CHANGEDATE
223850,Devil's claw root  (SUBS),20130627
223866,dexamethasone (SUBS),20130627
995939,dexamethasone phosphate (SUBS),20161106
842963,dexamethasone sodium phosphate (SUBS),20140901
877304,dexchlorphenamine maleate (SUBS),20150105
1161824,dexketoprofen (SUBS),20200920
520036,dexlansoprazole (SUBS),20130914
809201,dexmedetomidine (SUBS),20140602
523437,dexpanthenol (SUBS),20130914
761001,dextran (SUBS),20140407
1307372,dextran 40 (SUBS),20240913
692069,dextran 70 (SUBS),20140104
748064,dextromethorphan hydrobromide (SUBS),20140324
302373,dextropropoxyphene (SUBS),20130805
521712,dextrose (SUBS),20130914
763019,dextrose hydrous (SUBS),20140407
521037,dextrose monohydrate (SUBS),20130914
223878,diacerein (SUBS),20140304
744559,diastase (SUBS),20140304
255953,diazepam (SUBS),20130805
693561,diazoxide (SUBS),20140118
954390,dibasic potassium phosphate (SUBS),20150716
485337,dibasic sodium phosphate (SUBS),20130826
954422,dibasic sodium phosphate anhydrous (SUBS),20150716
811949,dicalcium phosphate (SUBS),20140616
731679,dichlorobenzyl alcohol (SUBS),20140202
223884,diclofenac (SUBS),20130627
716627,diclofenac diethylamine (SUBS),20140118
225955,diclofenac diethylammonium (SUBS),20130713
917091,diclofenac potassium (SUBS),20150404
225972,diclofenac sodium (SUBS),20130713
238087,dicloxacillin (SUBS),20130805
246462,dicyclomine (SUBS),20130805
769101,dicycloverine hydrochloride (SUBS),20161117
472683,didanosine (SUBS),20130805
683241,dienogest (SUBS),20140104
649191,diethylamine salicylate (SUBS),20131005
657210,diethylcarbamazine citrate (SUBS),20161117
841041,diflucortolone valerate (SUBS),20161116
684768,diflunisal (SUBS),20140104
717605,digoxin (specific antibody fragments) (SUBS),20140118
273028,digoxin (SUBS),20130805
994469,dihydroartemisinin (SUBS),20160917
903825,dihydroergocornine mesilate (SUBS),20150228
312662,dihydroergocristine (SUBS),20130805
903841,dihydroergocristine mesilate (SUBS),20150228
903860,dihydroergocryptine mesilate (SUBS),20150228
754720,dihydroergotoxine mesilate (SUBS),20190215
867903,dihydroxyaluminium aminoacetate (SUBS),20141123
695260,diiodohydroxyquinoline (SUBS),20140118
819808,dill oil (SUBS),20140705
223897,diltiazem hydrochloride (SUBS),20161106
266469,dimenhydrinate (SUBS),20130805
876852,dimercaprol (SUBS),20150105
980520,dimercaptopropanesulfonate (SUBS),20160404
813750,dimethindene maleate (SUBS),20161116
1163128,dimethyl fumarate (SUBS),20201002
223907,dimethyl sulfoxide (SUBS),20130627
993366,dimeticone (SUBS),20160904
841714,dimetindene (SUBS),20140817
1278558,dinalbuphine sebacate (SUBS),20230805
649039,dinoprostone (SUBS),20131005
720600,diosmectite (SUBS),20140118
737480,diosmin (SUBS),20140214
244969,diphenhydramine (SUBS),20151207
748427,diphenhydramine hydrochloride (SUBS),20140324
843062,diphenidol hydrochloride (SUBS),20161116
531048,diphenoxylate hydrochloride (SUBS),20130914
1049178,diphenylcyclopropenone (SUBS),20190103
877370,diphenylpyraline-8-chlorotheophyllinate (SUBS),20150105
717468,diphtheria antitoxin (SUBS),20140118
560884,diphtheria toxoid (SUBS),20131005
907803,diphtheria-hemophilus influenzae b-pertussis-poliomyelitis-tetanus-hepatitis b (SUBS),20150228
532593,dipotassium clorazepate (SUBS),20131018
1308126,dipotassium phosphate (SUBS),20240913
223911,dipyridamole (SUBS),20130627
954553,diquafosol sodium (SUBS),20150805
223924,disodium clodronate (SUBS),20160321
233236,disulfiram (SUBS),20130805
705855,dithranol (SUBS),20140118
763222,dl-alpha-tocopheryl acetate (SUBS),20140407
519550,dobutamine (SUBS),20130914
769724,dobutamine hydrochloride (SUBS),20140407
223930,docetaxel (SUBS),20130627
877874,docetaxel trihydrate (SUBS),20150105
279539,docusate sodium (SUBS),20130805
1293908,dog (Canis familiaris) hair allergen extract (SUBS),20240328
1002318,dolutegravir (SUBS),20170114
255137,domperidone (SUBS),20130805
871033,domperidone maleate (SUBS),20141129
249054,donepezil hydrochloride (SUBS),20160117
735796,dopamine (SUBS),20151207
962593,dopamine hydrochloride (SUBS),20151116
656802,doripenem (SUBS),20131102
521847,dorzolamide (SUBS),20130914
273194,doxazosin (SUBS),20130805
443197,doxepin (SUBS),20130805
913173,doxercalciferol (SUBS),20150314
255706,doxofylline (SUBS),20130805
223948,doxorubicin hydrochloride (SUBS),20160117
226372,doxycycline (SUBS),20130805
984555,doxycycline hyclate (SUBS),20160515
625984,doxylamine succinate (SUBS),20161106
766742,d-panthenol (SUBS),20140407
858990,dried aluminium hydroxide gel (SUBS),20141019
763832,dried aluminum hydroxide gel (SUBS),20140407
1209942,dried yeast (SUBS),20211110
383753,dronedarone (SUBS),20130805
679410,drospirenone (SUBS),20140104
964563,drotaverine hydrochloride (SUBS),20161106
760092,dry ruscus extract in sterolic heterosides (SUBS),20140407
1017630,dulaglutide (SUBS),20171103
299302,duloxetine (SUBS),20130805
1128582,dupilumab (SUBS),20191019
1115539,durvalumab (SUBS),20190614
255515,dutasteride (SUBS),20130805
319153,dydrogesterone (SUBS),20130805
784479,echinacea (SUBS),20140504
840174,echinaceae angustifoliae (SUBS),20140817
501616,econazole nitrate (SUBS),20161116
1312360,eculizumab (SUBS),20241102
1203678,edaravone (SUBS),20210930
493274,edetate disodium (SUBS),20150920
805018,edetic acid (SUBS),20140602
1006986,edoxaban (SUBS),20170414
710184,EDTA (SUBS),20141012
254456,efavirenz (SUBS),20130805
1016820,elbasvir (SUBS),20171012
676999,electrolytes (SUBS),20140104
424408,eletriptan (SUBS),20130805
1196502,elobixibat (SUBS),20210731
1021366,elosulfase alfa (SUBS),20171213
426077,eltrombopag (SUBS),20130805
966025,elvitegravir (SUBS),20151222
1141421,emicizumab (SUBS),20200404
965116,empagliflozin (SUBS),20151207
254473,emtricitabine (SUBS),20130805
933980,emulsifying wax (SUBS),20150503
710859,emulsion liquid paraffin compound (SUBS),20140118
223953,enalapril (SUBS),20150816
746400,enalapril maleate (SUBS),20140324
1283611,enfortumab vedotin (SUBS),20230915
720671,enfuvirtide (SUBS),20140118
223969,enoxaparin sodium (SUBS),20130627
293530,entacapone (SUBS),20130805
258161,entecavir (SUBS),20130805
1244239,"enterovirus type 71 vaccine, inactivated (human diploid cell) (SUBS)",20221014
1167428,entrectinib (SUBS),20201202
997144,enzalutamide (SUBS),20161117
714376,enzyme extract (SUBS),20140118
644292,enzyme extract from aspergillusoryzae (SUBS),20131005
1131406,enzyme extract from n*zimes (SUBS),20191115
322624,eperisone hydrochloride (SUBS),20160605
705341,ephedrine hydrochloride (SUBS),20140118
526288,epinastine hydrochloride (SUBS),20161203
536981,epinephrine (SUBS),20131018
933721,epinephrine bitartrate (SUBS),20150715
223976,epirubicin hydrochloride (SUBS),20151221
322719,epl substance (SUBS),20130805
877944,epoetin alfa (SUBS),20150801
689970,epoetin beta (SUBS),20140104
1226086,epoetin theta (SUBS),20220316
223982,eprosartan (SUBS),20130627
223995,eprosartan mesylate (SUBS),20130627
725329,eptacog alfa (activated) (SUBS),20140118
224009,eptifibatide (SUBS),20130627
1290334,eptinezumab (SUBS),20240111
1177224,erdafitinib (SUBS),20210211
684907,erdosteine (SUBS),20140104
1127383,erenumab (SUBS),20191004
399773,ergocalciferol (SUBS),20130805
737012,ergoloid mesylates (SUBS),20140214
254384,ergometrine maleate (SUBS),20160731
533578,ergotamine tartrate (SUBS),20130914
1002817,eribulin mesilate (SUBS),20180616
224013,erlotinib (SUBS),20130627
561397,ertapenem (SUBS),20131005
322408,erythromycin (SUBS),20130805
855804,erythromycin stearate (SUBS),20141019
875659,erythrosine (SUBS),20141214
359466,escitalopram (SUBS),20130805
1189976,esflurbiprofen (SUBS),20210513
1292410,esketamine (SUBS),20240301
695717,esmolol (SUBS),20140118
989226,esmolol hydrochloride (SUBS),20160703
224021,esomeprazole (SUBS),20130627
740970,essential keto acids (SUBS),20140304
699558,essential oil (SUBS),20140118
755062,essential phospholipids (SUBS),20140407
1259331,estetrol (SUBS),20230401
561460,estradiol (SUBS),20131005
561626,estradiol benzoate (SUBS),20131005
974296,estradiol cypionate (SUBS),20160213
682782,estradiol valerate (SUBS),20140104
646315,estriol (SUBS),20131005
832829,estrone (SUBS),20140803
268317,etafedrine hydrochloride (SUBS),20131018
224032,etanercept (SUBS),20130627
1112365,etelcalcetide (SUBS),20190504
226973,ethambutol hydrochloride (SUBS),20160307
679508,ethinylestradiol (SUBS),20140104
808028,ethiodized oil (131I) (SUBS),20150715
322960,ethionamide (SUBS),20130805
707949,ethyl alcohol (SUBS),20140118
806750,ethyl chloride (SUBS),20140602
685039,ethyl esters of iodized fatty acids of poppy seed oil (SUBS),20140104
877218,ethyl p-piperidylacetylaminobenzoate (SUBS),20150715
968190,ethyladrianol hydrochloride (SUBS),20160104
224045,etidronate disodium (SUBS),20130627
996935,etifoxine hydrochloride (SUBS),20161117
968126,etilefrine hydrochloride (SUBS),20160104
224050,etodolac (SUBS),20130627
561690,etomidate (SUBS),20131005
680421,etonogestrel (SUBS),20140104
224066,etoposide (SUBS),20130627
224078,etoricoxib (SUBS),20130627
349166,etravirine (SUBS),20130805
694077,eucalyptus oil (SUBS),20140118
518136,euflavine (SUBS),20130830
715174,eugenol (SUBS),20140118
224084,everolimus (SUBS),20130627
1260217,evogliptin (SUBS),20230401
1024341,evolocumab (SUBS),20180215
224097,exemestane (SUBS),20130627
735092,exenatide (SUBS),20140214
744592,extract of gentian (SUBS),20150715
224107,ezetimibe (SUBS),20130627
867547,factor ix complex (SUBS),20220203
724476,factor VIII inhibitor bypassing activity (SUBS),20140118
324926,famciclovir (SUBS),20130805
224111,famotidine (SUBS),20130627
943625,fampridine (SUBS),20150601
1245033,faricimab (SUBS),20221014
1140887,favipiravir (SUBS),20200314
958648,febuxostat (SUBS),20150910
1295837,fedratinib (SUBS),20240412
224124,felodipine (SUBS),20130627
224130,fenbufen (SUBS),20130627
809511,fenchone (SUBS),20140602
869120,fennel oil (SUBS),20141123
224148,fenofibrate (SUBS),20130627
822230,fenofibric acid (SUBS),20140705
522114,fenoterol hydrobromide (SUBS),20160731
824332,fenpiverinium bromide (SUBS),20140721
535222,fentanyl (SUBS),20130914
534965,fentanyl citrate (SUBS),20130914
783503,ferric ammonium citrate (SUBS),20140504
1166987,ferric carboxymaltose (SUBS),20201115
961076,ferric chloride (SUBS),20151005
1309260,ferric citrate (SUBS),20241005
860679,ferric glycerophosphate (SUBS),20150715
944842,ferric hydroxide polymaltose complex (SUBS),20150601
689632,ferrous fumarate (SUBS),20140104
855938,ferrous gluconate (SUBS),20141019
695928,ferrous sulfate (SUBS),20140118
718908,fesoterodine fumarate (SUBS),20160811
974347,fexofenadine hydrochloride (SUBS),20160214
1004943,filamentous haemagglutinin (FHA) (SUBS),20180315
224153,filgrastim (SUBS),20130627
1048734,fimasartan (SUBS),20190103
1125236,fimasartan potassium (SUBS),20190913
260931,finasteride (SUBS),20130805
1285247,finerenone (SUBS),20231013
646225,fingolimod (SUBS),20131005
1034747,fish oil (SUBS),20180713
904471,flavoxate hydrochloride (SUBS),20150228
650535,flecainide acetate (SUBS),20160811
347904,floctafenine (SUBS),20130805
263820,fluconazole (SUBS),20130805
717256,flucytosine (SUBS),20150715
769252,fludarabine phosphate (SUBS),20140407
327627,fludrocortisone (SUBS),20130805
809595,fludrocortisone acetate (SUBS),20140602
781997,flumazenil (SUBS),20140504
831984,flumetasone pivalate (SUBS),20160811
264962,flunarizine (SUBS),20130805
534528,flunitrazepam (SUBS),20130914
710258,fluocinolone acetonide (SUBS),20140118
928604,fluocinonide (SUBS),20150404
438378,fluocortolone pivalate (SUBS),20160811
961292,fluorescein sodium (SUBS),20151018
521932,fluorometholone (SUBS),20130914
985321,fluorometholone acetate (SUBS),20160605
224182,fluorouracil (SUBS),20130627
230343,fluoxetine (SUBS),20130805
644466,flupentixol (SUBS),20131005
992423,flupentixol decanoate (SUBS),20160811
692903,flupentixol dihydrochloride (SUBS),20160815
278225,fluphenazine (SUBS),20130805
764434,fluphenazine decanoate (SUBS),20140407
514063,fluprednidene (SUBS),20150715
224195,flurbiprofen (SUBS),20130627
224202,flutamide (SUBS),20130627
690043,fluticasone (SUBS),20140104
692478,fluticasone furoate (SUBS),20140104
692547,fluticasone propionate (SUBS),20140104
224218,fluvastatin (SUBS),20130627
738171,fluvoxamine (SUBS),20140214
645818,fluvoxamine maleate (SUBS),20131005
323231,folic acid (SUBS),20130805
358626,folinic acid (SUBS),20160129
680677,follitropin alfa (SUBS),20140104
682977,follitropin beta (SUBS),20140104
1220285,follitropin delta (SUBS),20211230
224225,fondaparinux sodium (SUBS),20130627
503280,formaldehyde (SUBS),20130830
822572,formoterol fumarate dihydrate (SUBS),20140705
695992,fosaprepitant (SUBS),20140118
964140,fosaprepitant dimeglumine (SUBS),20151207
717327,foscarnet sodium (SUBS),20150715
330758,fosfomycin (SUBS),20130805
880843,fosfructose trisodium (SUBS),20160811
803241,fosphenytoin sodium (SUBS),20160811
224239,fotemustine (SUBS),20130627
691295,framycetin sulfate (SUBS),20140104
1190292,fremanezumab (SUBS),20210604
1099862,fructose (SUBS),20190301
854013,fuller's earth (SUBS),20141004
224241,fulvestrant (SUBS),20130627
857629,furaltadone (SUBS),20141019
809613,furaltadone hydrochloride (SUBS),20160815
621434,furazolidone (SUBS),20131005
303975,furosemide (SUBS),20130805
580278,fursultiamine (SUBS),20131005
646078,fusidic acid (SUBS),20131005
322132,gabapentin (SUBS),20130805
815894,gadobenate dimeglumine (SUBS),20150715
814198,gadobutrol (SUBS),20140616
834054,gadodiamide (SUBS),20140803
876720,gadopentetic acid (SUBS),20150105
805820,gadoteric acid (SUBS),20200314
777712,gadoversetamide (SUBS),20140420
835241,gadoxetate disodium (SUBS),20181216
424816,galantamine (SUBS),20140119
1206945,galcanezumab (SUBS),20211029
839775,gambir (SUBS),20140817
785701,gamma benzene hexachloride (SUBS),20140504
782341,gamma-aminobutyric acid (SUBS),20150119
224256,gamma-oryzanol (SUBS),20130627
299421,ganciclovir (SUBS),20130805
834229,ganirelix (SUBS),20140803
454882,gatifloxacin (SUBS),20130805
224260,gefitinib (SUBS),20130627
224273,gemcitabine (SUBS),20130627
224287,gemfibrozil (SUBS),20130627
1100664,gemifloxacin mesilate (SUBS),20190302
1003158,gemigliptin (SUBS),20170205
488244,gentamicin (SUBS),20130830
1144441,gentamicin sulfate (SUBS),20200429
773399,gentian violet (SUBS),20140407
733011,geranium herb (SUBS),20140202
680961,gestodene (SUBS),20140104
1256843,gilteritinib (SUBS),20230304
224294,gimeracil (SUBS),20130627
784991,ginger (SUBS),20140504
1021155,ginger oil (SUBS),20171213
744642,ginger oleoresin (SUBS),20140304
1131423,ginger rhizome powder extract (SUBS),20191115
795722,ginger tincture (SUBS),20150119
730521,ginkgo biloba extract (SUBS),20140202
685266,ginseng extract (SUBS),20150715
853809,glacial acetic acid (SUBS),20141004
1138128,glatiramer acetate (SUBS),20200227
246967,glibenclamide (SUBS),20130805
232119,gliclazide (SUBS),20130805
237030,glimepiride (SUBS),20130805
248276,glipizide (SUBS),20130805
337870,gliquidone (SUBS),20130805
224315,glucosamine sulfate (SUBS),20160104
854358,glutamic acid (SUBS),20150801
224701,glutamine (SUBS),20150801
961654,glutaral (SUBS),20151018
843494,glutaraldehyde (SUBS),20140901
1118977,glutathione disulfide (SUBS),20190629
710925,glycerine borax (SUBS),20140118
265032,glycerol (SUBS),20130805
899436,glycerol monostearate (SUBS),20150218
988975,glyceryl monostearate (SUBS),20160703
731583,glyceryl trinitrate (SUBS),20180518
529589,glycine (SUBS),20130914
711203,glycolic acid (SUBS),20140118
968310,glycopyrronium (SUBS),20160104
1199286,glycopyrronium bromide (SUBS),20210813
224327,glycyrrhiza (SUBS),20130627
779209,golimumab (SUBS),20140420
224336,goserelin (SUBS),20160128
499698,gramicidin (SUBS),20130830
685330,granisetron (SUBS),20140104
1016849,grazoprevir (SUBS),20171012
762168,green pit viper antivenin (SUBS),20160214
247901,griseofulvin (SUBS),20130805
531228,guaifenesin (SUBS),20130914
1114416,guselkumab (SUBS),20190531
699821,haemodialysate (SUBS),20140118
669048,haemophilus influenzae type b vaccine (SUBS),20150801
910115,haletazole tartrate (SUBS),20241004
331121,haloperidol (SUBS),20130805
763907,haloperidol decanoate (SUBS),20200613
834152,hamamelis water (SUBS),20140803
1164391,heparin (SUBS),20201016
690500,heparin sodium (SUBS),20140104
672194,hepatitis A virus vaccine (SUBS),20150801
1023375,"hepatitis A virus vaccine, live attenuated (SUBS)",20180203
730891,hepatitis B surface antigen immunoglobulin (SUBS),20150801
669114,hepatitis B virus vaccine (SUBS),20150801
730545,heptaminol (SUBS),20140202
714395,herbs (SUBS),20140118
737507,hesperidin (SUBS),20140214
732561,hesperidin methyl chalcone (SUBS),20140202
494129,hexachlorophene (SUBS),20130830
718537,hexylresorcinol (SUBS),20140118
1289773,highly purified human menopausal gonadotropin (SUBS),20231228
1296677,histamine (SUBS),20240412
804116,histidine (SUBS),20140602
804137,histidine hydrochloride monohydrate (SUBS),20140602
841400,histrelin acetate (SUBS),20160214
1304500,human anti-d immunoglobulin (SUBS),20240817
1003812,human coagulation factor VIII (SUBS),20170218
724597,human fibrinogen (SUBS),20140118
1025077,human glucagon (SUBS),20180302
1200465,human hepatitis B immunoglobulin (SUBS),20210813
1003934,human immunoglobulin G (SUBS),20170218
681197,human menopausal gonadotropin (SUBS),20150801
721485,human normal immunoglobulin (SUBS),20160128
672102,"human rotavirus, live attenuated (SUBS)",20131215
741095,human serum albumin (SUBS),20150816
1317895,"human-bovine rotavirus type G1 (live, attenuated) (SUBS)",20241215
1317830,"human-bovine rotavirus type G2 (live, attenuated) (SUBS)",20241215
1317853,"human-bovine rotavirus type G3 (live, attenuated) (SUBS)",20241215
1317876,"human-bovine rotavirus type G4 (live, attenuated) (SUBS)",20241215
1317914,"human-bovine rotavirus type G9 (live, attenuated) (SUBS)",20241215
670286,hyaluronate sodium (SUBS),20150920
721297,hyaluronic acid (SUBS),20140118
733373,hydralazine hydrochloride (SUBS),20140202
224362,hydrochlorothiazide (SUBS),20130627
295967,hydrocortisone (SUBS),20130805
701214,hydrocortisone acetate (SUBS),20140118
520487,hydrocortisone sodium succinate (SUBS),20130914
791885,hydrofluoric acid (SUBS),20150816
731512,hydrogen peroxide (SUBS),20140202
502390,hydroquinone (SUBS),20130830
1121910,hydrosulfite (SUBS),20190803
1010894,hydroxocobalamin (SUBS),20170629
1273302,hydroxocobalamine (SUBS),20230701
224370,hydroxycarbamide (SUBS),20150816
343484,hydroxychloroquine sulfate (SUBS),20160917
730610,hydroxyethyl starch (SUBS),20140202
827262,hydroxyprogesterone (SUBS),20140721
682908,hydroxyprogesterone caproate (SUBS),20170916
1019835,hydroxyquinoline sulfate (SUBS),20171202
733445,hydroxyzine hydrochloride (SUBS),20140202
915053,hyetellose (SUBS),20150314
238245,hyoscine butylbromide (SUBS),20141013
689319,hypromellose (SUBS),20141012
224389,ibandronic acid (SUBS),20130627
1022393,ibrutinib (SUBS),20171228
224391,ibuprofen (SUBS),20130627
1219946,icatibant (SUBS),20211230
813375,icodextrin (SUBS),20140616
1188121,icosapent ethyl (SUBS),20210429
224406,idarubicin hydrochloride (SUBS),20130627
1016395,idarucizumab (SUBS),20170929
806220,idursulfase (SUBS),20140602
224410,ifosfamide (SUBS),20130627
224423,iloprost (SUBS),20150816
224434,imatinib (SUBS),20160129
1211775,imdevimab (SUBS),20211202
964309,imidafenacin (SUBS),20151207
224447,imidapril hydrochloride (SUBS),20130627
721369,imiglucerase (SUBS),20140118
563265,imipenem (SUBS),20131005
650705,imipramine hydrochloride (SUBS),20160917
642761,imiquimod (SUBS),20131005
842842,immunoglobulin A (SUBS),20150801
842874,immunoglobulin M (SUBS),20150801
1260326,inclisiran (SUBS),20230401
398459,indacaterol (SUBS),20130805
224452,indapamide (SUBS),20130627
888850,indigo carmine (SUBS),20150202
658370,indinavir (SUBS),20131102
224468,indobufen (SUBS),20130627
717971,indocyanine green (SUBS),20140118
999834,indometacin (SUBS),20161215
224481,infliximab (SUBS),20130627
1130274,"influenza type A virus vaccine, A/Brisbane/02/2018 (H1N1)pdm09-like virus (SUBS)",20191102
1134093,"influenza type A virus vaccine, A/Brisbane/02/2018 IVR-190 (H1N1) (SUBS)",20191212
1121209,"influenza type A virus vaccine, A/Brisbane/02/2018(H1N1)pdm09-like virus (SUBS)",20190803
1128238,"influenza type A virus vaccine, A/Brisbane/02/2018, IVR-190(H1N1)-like virus (SUBS)",20191019
668516,"influenza type A virus vaccine, A/California/7/2009 (H1N1)pdm09-like virus (SUBS)",20151004
1208528,"influenza type A virus vaccine, A/Cambodia/e0826360/2020 (H3N2)-like virus (SUBS)",20211110
1327024,"influenza type A virus vaccine, A/Croatia/10136RV/2023 (H3N2)-like virus (SUBS)",20250313
1234497,"influenza type A virus vaccine, A/Darwin/9/2021 (H3N2)-like virus (SUBS)",20220514
1158557,"influenza type A virus vaccine, A/Guangdong-Maonan/SWL1536/2019 (H1N1)pdm09-like virus (SUBS)",20200815
1160063,"influenza type A virus vaccine, A/Guangdong-Maonan/SWL1536/2019 CNIC-1909 (H1N1)pdm09-like virus (SUBS)",20200904
1158574,"influenza type A virus vaccine, A/Hong Kong/2671/2019 (H3N2)-like virus (SUBS)",20200815
1188236,"influenza type A virus vaccine, A/Hong Kong/2671/2019 IVR-208 (H3N2)-like virus (SUBS)",20210429
1160085,"influenza type A virus vaccine, A/Hong Kong/2671/2019 NIB-121 (H3N2)-like virus (SUBS)",20200904
1001852,"influenza type A virus vaccine, A/Hong Kong/4801/2014 (H3N2)-like virus (SUBS)",20161231
1196220,"influenza type A virus vaccine, A/Hongkong/2671/2019 NIB-121 (H3N2) (SUBS)",20210731
1130290,"influenza type A virus vaccine, A/Kansas/14/2017 (H3N2)-like virus (SUBS)",20191102
1134119,"influenza type A virus vaccine, A/Kansas/14/2017 NYMC X-327 (H3N2) (SUBS)",20191212
1121221,"influenza type A virus vaccine, A/Kansas/14/2017(H3N2)-like virus (SUBS)",20190803
1128255,"influenza type A virus vaccine, A/Kansas/14/2017, IVR-195(H3N2)-like virus (SUBS)",20191019
1102022,"influenza type A virus vaccine, A/Michigan/45/2015 (H1N1) pdm09-like strain (SUBS)",20190315
1001834,"influenza type A virus vaccine, A/Michigan/45/2015 (H1N1)pdm09 -like virus (SUBS)",20161231
1007922,"influenza type A virus vaccine, A/Michigan/45/2015 (H1N1)pdm09-like virus (SUBS)",20180504
1026819,"influenza type A virus vaccine, A/Michigan/45/2015 X-275 (H1N1)-like virus (SUBS)",20180329
1105829,"influenza type A virus vaccine, A/Michigan/45/2015(H1N1)pdm09-like strain (A/Singapore/GP1908/2015, IVR-180) (SUBS)",20190411
1117701,"influenza type A virus vaccine, A/Michigan/45/2015(H1N1)pdm09-like strain (SUBS)",20190628
1110844,"influenza type A virus vaccine, A/Singapore/GP1908/2015, IVR-180 (H1N1)-like virus (SUBS)",20190504
1025856,"influenza type A virus vaccine, A/Singapore/INFIMH-16-0019/2016 (H3N2)-like virus (SUBS)",20180315
1104289,"influenza type A virus vaccine, A/Singapore/INFIMH-16-0019/2016 IVR 186 (H3N2)-like virus (SUBS)",20190331
1026835,"influenza type A virus vaccine, A/Singapore/INFIMH-16-0019/2016 NIB-104 (H3N2)-like virus (SUBS)",20180329
1138251,"influenza type A virus vaccine, A/South Australia/34/2019 (H3N2)-like virus (SUBS)",20200227
1119649,"influenza type A virus vaccine, A/Switzerland/8060/2017 (H3N2) (SUBS)",20190714
1105840,"influenza type A virus vaccine, A/Switzerland/8060/2017 (H3N2)-like strain (A/Brisbane/1/2018, X-311) (SUBS)",20190411
1102046,"influenza type A virus vaccine, A/Switzerland/8060/2017 (H3N2)-like strain (SUBS)",20190315
1106451,"influenza type A virus vaccine, A/Switzerland/8060/2017 (H3N2)-like virus (SUBS)",20190411
1110863,"influenza type A virus vaccine, A/Switzerland/8060/2017 NIB-112 (H3N2)-like virus (SUBS)",20190504
668537,"influenza type A virus vaccine, A/Switzerland/9715293/2013 (H3N2)-like virus (SUBS)",20151004
1261069,"influenza type A virus vaccine, A/Sydney/5/2021 (H1N1)pdm09-like virus (SUBS)",20230412
1295630,"influenza type A virus vaccine, A/Thailand/8/2022 (H3N2)-like virus (SUBS)",20240412
1182935,"influenza type A virus vaccine, A/Victoria/2570/2019 (H1N1)pdm09-like virus (SUBS)",20210331
1196208,"influenza type A virus vaccine, A/Victoria/2570/2019 IVR-215 (H1N1) (SUBS)",20210731
1188258,"influenza type A virus vaccine, A/Victoria/2570/2019 IVR-215 (H1N1)-like virus (SUBS)",20210429
1278845,"influenza type A virus vaccine, A/Victoria/4897/2022 (H1N1)pdm09-like virus (SUBS)",20230805
1039666,"influenza type A virus vaccine, B/Colorado/6/2017-like virus (SUBS)",20181010
696430,"influenza type A, H5N1 (chicken embryo cell) (SUBS)",20140118
1234510,"influenza type B virus vaccine, B/Austria/1359417/2021 (B/Victoria lineage)-like virus (SUBS)",20220602
1237720,"influenza type B virus vaccine, B/Austria/1359417/2021-like virus (SUBS)",20220602
1026857,"influenza type B virus vaccine, B/Brisbane/60/2008(Victoria lineage)-like virus (SUBS)",20180329
960737,"influenza type B virus vaccine, B/Brisbane/60/2008-like virus (SUBS)",20151005
1105864,"influenza type B virus vaccine, B/Colorado/06/2017-like strain (B/Victoria/2/87 lineage) (B/Maryland/15/2016, wild type) (SUBS)",20190411
1106479,"influenza type B virus vaccine, B/Colorado/06/2017-like virus (SUBS)",20190411
1102067,"influenza type B virus vaccine, B/Colorado/6/2017-like strain (SUBS)",20190315
1040407,"influenza type B virus vaccine, B/Maryland/15/2016 BX-69A (a B/Colorado/6/2017-virus, B Victoria lineage)-like virus (SUBS)",20181010
1134135,"influenza type B virus vaccine, B/Maryland/15/2016 NYMC BX-69A (SUBS)",20191212
1110885,"influenza type B virus vaccine, B/Maryland/15/2016 NYMC BX-69A-like virus (SUBS)",20190504
1104301,"influenza type B virus vaccine, B/Maryland/15/2016-like virus (SUBS)",20190331
1278821,"influenza type B virus vaccine, B/Michigan/01/2021 (SUBS)",20230805
1160102,"influenza type B virus vaccine, B/Phuket/3073/2013 (B/Yamagata lineage)-like virus (SUBS)",20220602
1196352,"influenza type B virus vaccine, B/Phuket/3073/2013 (SUBS)",20210731
1188270,"influenza type B virus vaccine, B/Phuket/3073/2013(B linaje Yamagata)-like virus (SUBS)",20210429
1026874,"influenza type B virus vaccine, B/Phuket/3073/2013(Yamagata lineage)-like virus (SUBS)",20180329
1102080,"influenza type B virus vaccine, B/Phuket/3073/2013-like strain (SUBS)",20190315
668559,"influenza type B virus vaccine, B/Phuket/3073/2013-like virus (SUBS)",20151004
1196249,"influenza type B virus vaccine, B/Washington/02/2019 (SUBS)",20210731
1188291,"influenza type B virus vaccine, B/Washington/02/2019(B (SUBS)",20210429
1138279,"influenza type B virus vaccine, B/Washington/02/2019-like virus (SUBS)",20200227
1113229,"influenza type B virus vaccine,B/Colorado/06/2017-like virus (SUBS)",20190516
1027125,"influenza type B virus vaccine,B/Phuket/3073/2013-like virus (SUBS)",20180412
868831,"influenza, inactivated, whole virus (SUBS)",20151004
685400,inosine pranobex (SUBS),20140104
847074,inositol (SUBS),20140914
660099,insulin aspart (SUBS),20131102
660113,insulin aspart protamine (SUBS),20131102
997003,insulin degludec (SUBS),20161117
659029,insulin detemir (SUBS),20131102
658890,insulin glargine (SUBS),20131102
655292,insulin glulisine (SUBS),20131102
654757,insulin human (SUBS),20131102
658124,insulin lispro (SUBS),20131102
658202,insulin lispro protamine (SUBS),20131102
224499,interferon alpha (SUBS),20130627
224512,interferon alpha-2a (SUBS),20130627
224520,interferon alpha-2b (SUBS),20130627
