TMTID(GPU),FSN,CHANGEDATE
487865,"betamethasone 100 mg/100 g + clioquinol 3 g/100 g cream, 5 g tube (GPU)",20130830
487883,"betamethasone 100 mg/100 g + clioquinol 3 g/100 g cream, 500 g jar (GPU)",20200904
497611,"betamethasone 100 mg/100 g + clotrimazole 1 g/100 g cream, 10 g tube (GPU)",20130830
497669,"betamethasone 100 mg/100 g + clotrimazole 1 g/100 g cream, 100 g tube (GPU)",20130830
497719,"betamethasone 100 mg/100 g + clotrimazole 1 g/100 g cream, 15 g tube (GPU)",20130830
498277,"betamethasone 100 mg/100 g + clotrimazole 1 g/100 g cream, 20 g tube (GPU)",20130830
498518,"betamethasone 100 mg/100 g + clotrimazole 1 g/100 g cream, 25 g tube (GPU)",20130830
498296,"betamethasone 100 mg/100 g + clotrimazole 1 g/100 g cream, 3 g tube (GPU)",20130830
873054,"betamethasone 100 mg/100 g + clotrimazole 1 g/100 g cream, 30 g tube (GPU)",20141214
498188,"betamethasone 100 mg/100 g + clotrimazole 1 g/100 g cream, 450 g jar (GPU)",20200904
497742,"betamethasone 100 mg/100 g + clotrimazole 1 g/100 g cream, 5 g tube (GPU)",20130830
497648,"betamethasone 100 mg/100 g + clotrimazole 1 g/100 g cream, 500 g jar (GPU)",20200904
728077,"betamethasone 100 mg/100 g + clotrimazole 100 mg/100 g cream, 10 g tube (GPU)",20140118
728110,"betamethasone 100 mg/100 g + clotrimazole 100 mg/100 g cream, 20 g tube (GPU)",20140118
728096,"betamethasone 100 mg/100 g + clotrimazole 100 mg/100 g cream, 3 g tube (GPU)",20140118
728134,"betamethasone 100 mg/100 g + clotrimazole 100 mg/100 g cream, 450 g jar (GPU)",20200904
728049,"betamethasone 100 mg/100 g + clotrimazole 100 mg/100 g cream, 5 g tube (GPU)",20140118
488484,"betamethasone 100 mg/100 g + gentamicin 100 mg/100 g cream, 100 g tube (GPU)",20130830
488552,"betamethasone 100 mg/100 g + gentamicin 100 mg/100 g cream, 15 g tube (GPU)",20130830
488581,"betamethasone 100 mg/100 g + gentamicin 100 mg/100 g cream, 400 g jar (GPU)",20200904
488450,"betamethasone 100 mg/100 g + gentamicin 100 mg/100 g cream, 5 g tube (GPU)",20130830
488523,"betamethasone 100 mg/100 g + gentamicin 100 mg/100 g ointment, 5 g tube (GPU)",20130830
511524,"betamethasone 100 mg/100 g + miconazole nitrate 2 g/100 g cream, 100 g tube (GPU)",20160904
489210,"betamethasone 100 mg/100 g + neomycin sulfate 330 mg/100 g cream, 100 g tube (GPU)",20130830
852737,"betamethasone 100 mg/100 g + neomycin sulfate 330 mg/100 g cream, 15 g tube (GPU)",20141004
872907,"betamethasone 100 mg/100 g + neomycin sulfate 330 mg/100 g cream, 450 g jar (GPU)",20200904
490451,"betamethasone 100 mg/100 g + neomycin sulfate 330 mg/100 g cream, 5 g tube (GPU)",20130830
489027,"betamethasone 100 mg/100 g + neomycin sulfate 350 mg/100 g cream, 100 g tube (GPU)",20130830
489313,"betamethasone 100 mg/100 g + neomycin sulfate 350 mg/100 g cream, 15 g tube (GPU)",20130830
490582,"betamethasone 100 mg/100 g + neomycin sulfate 350 mg/100 g cream, 450 g jar (GPU)",20200904
490548,"betamethasone 100 mg/100 g + neomycin sulfate 350 mg/100 g cream, 500 g jar (GPU)",20200904
490264,"betamethasone 100 mg/100 g + neomycin sulfate 500 mg/100 g cream, 10 g tube (GPU)",20161106
488974,"betamethasone 100 mg/100 g + neomycin sulfate 500 mg/100 g cream, 100 g tube (GPU)",20161106
489571,"betamethasone 100 mg/100 g + neomycin sulfate 500 mg/100 g cream, 125 g tube (GPU)",20210331
489268,"betamethasone 100 mg/100 g + neomycin sulfate 500 mg/100 g cream, 15 g tube (GPU)",20161106
489846,"betamethasone 100 mg/100 g + neomycin sulfate 500 mg/100 g cream, 200 g tube (GPU)",20161106
941029,"betamethasone 100 mg/100 g + neomycin sulfate 500 mg/100 g cream, 25 g tube (GPU)",20170329
489965,"betamethasone 100 mg/100 g + neomycin sulfate 500 mg/100 g cream, 30 g tube (GPU)",20161106
490303,"betamethasone 100 mg/100 g + neomycin sulfate 500 mg/100 g cream, 400 g jar (GPU)",20200904
489155,"betamethasone 100 mg/100 g + neomycin sulfate 500 mg/100 g cream, 450 g jar (GPU)",20200904
488926,"betamethasone 100 mg/100 g + neomycin sulfate 500 mg/100 g cream, 5 g tube (GPU)",20161106
490123,"betamethasone 100 mg/100 g + neomycin sulfate 500 mg/100 g cream, 50 g tube (GPU)",20161106
489138,"betamethasone 100 mg/100 g + neomycin sulfate 500 mg/100 g cream, 500 g jar (GPU)",20200904
654113,"betamethasone 100 mg/100 g cream, 100 g tube (GPU)",20131102
654099,"betamethasone 100 mg/100 g cream, 15 g tube (GPU)",20131102
1130476,"betamethasone 100 mg/100 g cream, 450 g jar (GPU)",20191115
654068,"betamethasone 100 mg/100 g cream, 5 g tube (GPU)",20131102
654150,"betamethasone 100 mg/100 mL cutaneous solution, 30 mL bottle (GPU)",20140215
490361,"betamethasone 350 mg/100 g + neomycin sulfate 100 mg/100 g cream, 100 g tube (GPU)",20130830
801081,"betamethasone 50 mg/100 g + calcipotriol 5 mg/100 g gel, 15 g bottle (GPU)",20190815
801113,"betamethasone 50 mg/100 g + calcipotriol 5 mg/100 g gel, 30 g bottle (GPU)",20190815
801132,"betamethasone 50 mg/100 g + calcipotriol 5 mg/100 g gel, 60 g bottle (GPU)",20190815
1008291,"betamethasone 50 mg/100 g + calcipotriol 5 mg/100 g ointment, 15 g tube (GPU)",20190815
488339,"betamethasone 50 mg/100 g + clioquinol 1 g/100 g + gentamicin 100 mg/100 g + tolnaftate 1 g/100 g cream, 100 g tube (GPU)",20190531
488360,"betamethasone 50 mg/100 g + clioquinol 1 g/100 g + gentamicin 100 mg/100 g + tolnaftate 1 g/100 g cream, 15 g tube (GPU)",20190531
976058,"betamethasone 50 mg/100 g + clioquinol 1 g/100 g + gentamicin 100 mg/100 g + tolnaftate 1 g/100 g cream, 25 g tube (GPU)",20190531
488715,"betamethasone 50 mg/100 g + clioquinol 1 g/100 g + gentamicin 100 mg/100 g + tolnaftate 1 g/100 g cream, 5 g tube (GPU)",20190531
488302,"betamethasone 50 mg/100 g + clioquinol 1 g/100 g + gentamicin 100 mg/100 g + tolnaftate 1 g/100 g cream, 50 g tube (GPU)",20190531
498616,"betamethasone 50 mg/100 g + clotrimazole 1 g/100 g cream, 100 g tube (GPU)",20130830
498072,"betamethasone 50 mg/100 g + clotrimazole 1 g/100 g cream, 5 g tube (GPU)",20130830
940909,"betamethasone 50 mg/100 g + gentamicin 100 mg/100 g cream, 15 g tube (GPU)",20150515
488413,"betamethasone 50 mg/100 g + gentamicin 100 mg/100 g cream, 30 g tube (GPU)",20130830
940875,"betamethasone 50 mg/100 g + gentamicin 100 mg/100 g cream, 5 g tube (GPU)",20150515
1008338,"betamethasone 50 mg/100 g + salicylic acid 3 g/100 g ointment, 15 g tube (GPU)",20170602
1172496,"betamethasone 50 mg/100 g + salicylic acid 3 g/100 g ointment, 5 g tube (GPU)",20210129
824268,"betamethasone dipropionate 100 g/100 g + clotrimazole 1 mg/100 g cream, 15 g tube (GPU)",20140721
824210,"betamethasone dipropionate 100 g/100 g + clotrimazole 1 mg/100 g cream, 450 g jar (GPU)",20200904
824247,"betamethasone dipropionate 100 g/100 g + clotrimazole 1 mg/100 g cream, 5 g tube (GPU)",20140721
499066,"betamethasone dipropionate 100 mg/100 g + clotrimazole 1 g/100 g cream, 100 g tube (GPU)",20130830
498869,"betamethasone dipropionate 100 mg/100 g + clotrimazole 1 g/100 g cream, 15 g tube (GPU)",20130830
498895,"betamethasone dipropionate 100 mg/100 g + clotrimazole 1 g/100 g cream, 5 g tube (GPU)",20130830
857245,"betamethasone dipropionate 100 mg/100 g cream, 500 g jar (GPU)",20200904
742899,"betamethasone dipropionate 5 mg/1 mL + betamethasone sodium phosphate 2 mg/1 mL suspension for injection, 1 mL ampoule (GPU)",20140304
742921,"betamethasone dipropionate 5 mg/1 mL + betamethasone sodium phosphate 2 mg/1 mL suspension for injection, 5 mL vial (GPU)",20140304
498967,"betamethasone dipropionate 50 mg/100 g + clotrimazole 1 g/100 g cream, 100 g tube (GPU)",20130830
499032,"betamethasone dipropionate 50 mg/100 g + clotrimazole 1 g/100 g cream, 5 g tube (GPU)",20130830
645147,"betamethasone dipropionate 50 mg/100 g + salicylic acid 3 g/100 g ointment, 15 g tube (GPU)",20131005
645110,"betamethasone dipropionate 50 mg/100 g + salicylic acid 3 g/100 g ointment, 5 g tube (GPU)",20131005
645217,"betamethasone dipropionate 50 mg/100 g cream, 15 g tube (GPU)",20150105
830769,"betamethasone dipropionate 50 mg/100 g cream, 450 g jar (GPU)",20200904
645181,"betamethasone dipropionate 50 mg/100 g cream, 5 g tube (GPU)",20150105
855668,"betamethasone dipropionate 50 mg/100 g cream, 500 g jar (GPU)",20200904
830707,"betamethasone dipropionate 50 mg/100 g ointment, 15 g tube (GPU)",20140803
824309,"betamethasone dipropionate 50 mg/100 g ointment, 450 g jar (GPU)",20200904
645240,"betamethasone dipropionate 50 mg/100 g ointment, 5 g tube (GPU)",20131005
936013,"betamethasone dipropionate 50 mg/100 mg + salicylic acid 5 g/100 g cream, 30 g tube (GPU)",20150503
770251,"betamethasone dipropionate 500 mcg/1 mL cutaneous solution, 30 mL bottle (GPU)",20140407
1051242,"betamethasone dipropionate 64 mg/100 g + clotrimazole 1 g/100 g + gentamicin 100 mg/100 g cream, 10 g tube (GPU)",20190120
813998,"betamethasone dipropionate 64 mg/100 g + fusidic acid 2 g/100 g cream, 15 g tube (GPU)",20140616
813967,"betamethasone dipropionate 64 mg/100 g + fusidic acid 2 g/100 g cream, 5 g tube (GPU)",20140616
814053,"betamethasone dipropionate 64 mg/100 g + fusidic acid 2 g/100 g ointment, 15 g tube (GPU)",20140616
814024,"betamethasone dipropionate 64 mg/100 g + fusidic acid 2 g/100 g ointment, 5 g tube (GPU)",20140616
794019,"betamethasone dipropionate 64 mg/100 g + gentamicin 170 mg/100 g cream, 15 g tube (GPU)",20140519
794042,"betamethasone dipropionate 64 mg/100 g + gentamicin 170 mg/100 g cream, 450 g tube (GPU)",20140519
671105,"betamethasone dipropionate 64 mg/100 g + salicylic acid 3 g/100 g ointment, 100 g tube (GPU)",20220810
806502,"betamethasone dipropionate 64 mg/100 g + salicylic acid 3 g/100 g ointment, 15 g tube (GPU)",20140602
671122,"betamethasone dipropionate 64 mg/100 g + salicylic acid 3 g/100 g ointment, 450 g jar (GPU)",20220815
671053,"betamethasone dipropionate 64 mg/100 mL + salicylic acid 2 g/100 mL cutaneous spray, solution, 30 mL bottle (GPU)",20220810
978472,"betamethasone maleate 100 mg/100 g + coal tar 1 g/100 g + salicylic acid 3 g/100 g cream, 100 g jar (GPU)",20200904
978401,"betamethasone maleate 100 mg/100 g + coal tar 1 g/100 g + salicylic acid 3 g/100 g cream, 30 g tube (GPU)",20160321
978438,"betamethasone maleate 100 mg/100 g + coal tar 1 g/100 g + salicylic acid 3 g/100 g cream, 40 g jar (GPU)",20200904
978455,"betamethasone maleate 100 mg/100 g + coal tar 1 g/100 g + salicylic acid 3 g/100 g cream, 50 g jar (GPU)",20200904
978570,"betamethasone maleate 100 mg/100 g + coal tar 1 g/100 g + salicylic acid 5 g/100 g cream, 100 g jar (GPU)",20200904
978504,"betamethasone maleate 100 mg/100 g + coal tar 1 g/100 g + salicylic acid 5 g/100 g cream, 30 g tube (GPU)",20160321
978536,"betamethasone maleate 100 mg/100 g + coal tar 1 g/100 g + salicylic acid 5 g/100 g cream, 40 g jar (GPU)",20200904
978558,"betamethasone maleate 100 mg/100 g + coal tar 1 g/100 g + salicylic acid 5 g/100 g cream, 50 g jar (GPU)",20200904
978298,"betamethasone maleate 100 mg/100 g + coal tar 600 mg/100 g + salicylic acid 3 g/100 g cream, 100 g jar (GPU)",20200904
978222,"betamethasone maleate 100 mg/100 g + coal tar 600 mg/100 g + salicylic acid 3 g/100 g cream, 30 g tube (GPU)",20160321
978251,"betamethasone maleate 100 mg/100 g + coal tar 600 mg/100 g + salicylic acid 3 g/100 g cream, 40 g jar (GPU)",20200904
978279,"betamethasone maleate 100 mg/100 g + coal tar 600 mg/100 g + salicylic acid 3 g/100 g cream, 50 g jar (GPU)",20200904
978377,"betamethasone maleate 100 mg/100 g + coal tar 600 mg/100 g + salicylic acid 5 g/100 g cream, 100 g jar (GPU)",20200904
978320,"betamethasone maleate 100 mg/100 g + coal tar 600 mg/100 g + salicylic acid 5 g/100 g cream, 30 g tube (GPU)",20160321
978354,"betamethasone maleate 100 mg/100 g + coal tar 600 mg/100 g + salicylic acid 5 g/100 g cream, 40 g jar (GPU)",20200904
979598,"betamethasone maleate 100 mg/100 g + coal tar 600 mg/100 g + salicylic acid 5 g/100 g cream, 50 g jar (GPU)",20200904
978185,"betamethasone maleate 100 mg/100 g + coal tar 600 mg/100 g cream, 100 g jar (GPU)",20200904
978128,"betamethasone maleate 100 mg/100 g + coal tar 600 mg/100 g cream, 30 g tube (GPU)",20160321
978144,"betamethasone maleate 100 mg/100 g + coal tar 600 mg/100 g cream, 40 g jar (GPU)",20200904
978090,"betamethasone maleate 100 mg/100 g + coal tar 600 mg/100 g cream, 5 g tube (GPU)",20160321
978163,"betamethasone maleate 100 mg/100 g + coal tar 600 mg/100 g cream, 50 g jar (GPU)",20200904
927794,"betamethasone valerate 100 mg/100 g + clioquinol 3 g/100 g cream, 15 g jar (GPU)",20190803
927843,"betamethasone valerate 100 mg/100 g + clioquinol 3 g/100 g cream, 150 g jar (GPU)",20190803
927827,"betamethasone valerate 100 mg/100 g + clioquinol 3 g/100 g cream, 30 g jar (GPU)",20190803
927862,"betamethasone valerate 100 mg/100 g + clioquinol 3 g/100 g cream, 500 g jar (GPU)",20190803
1015747,"betamethasone valerate 100 mg/100 g + coal tar 3 g/100 g cream, 500 g jar (GPU)",20171002
1015775,"betamethasone valerate 100 mg/100 g + coal tar 5 g/100 g cream, 10 g jar (GPU)",20170929
1124261,"betamethasone valerate 100 mg/100 g + coal tar 5 g/100 g cream, 100 g jar (GPU)",20190829
922223,"betamethasone valerate 100 mg/100 g + coal tar 5 g/100 g cream, 150 g jar (GPU)",20190803
1015809,"betamethasone valerate 100 mg/100 g + coal tar 5 g/100 g cream, 30 g jar (GPU)",20170929
1015821,"betamethasone valerate 100 mg/100 g + coal tar 5 g/100 g cream, 500 g jar (GPU)",20170929
892787,"betamethasone valerate 100 mg/100 g + coal tar 5 mL/100 g cream, 150 g jar (GPU)",20200718
892756,"betamethasone valerate 100 mg/100 g + coal tar 5 mL/100 g cream, 30 g jar (GPU)",20200718
797371,"betamethasone valerate 100 mg/100 g + fusidic acid 2 g/100 g cream, 15 g tube (GPU)",20170413
797344,"betamethasone valerate 100 mg/100 g + fusidic acid 2 g/100 g cream, 5 g tube (GPU)",20170413
704386,"betamethasone valerate 100 mg/100 g + salicylic acid 10 g/100 g cream, 500 g jar (GPU)",20200904
704420,"betamethasone valerate 100 mg/100 g + salicylic acid 20 g/100 g cream, 500 g jar (GPU)",20200904
704301,"betamethasone valerate 100 mg/100 g + salicylic acid 3 g/100 g cream, 500 g jar (GPU)",20200904
823482,"betamethasone valerate 100 mg/100 g + salicylic acid 3 g/100 g ointment, 15 g tube (GPU)",20180329
823430,"betamethasone valerate 100 mg/100 g + salicylic acid 3 g/100 g ointment, 450 g jar (GPU)",20200904
823469,"betamethasone valerate 100 mg/100 g + salicylic acid 3 g/100 g ointment, 5 g tube (GPU)",20180329
1150195,"betamethasone valerate 100 mg/100 g + salicylic acid 5 g/100 g cream, 100 g jar (GPU)",20241004
704340,"betamethasone valerate 100 mg/100 g + salicylic acid 5 g/100 g cream, 500 g jar (GPU)",20200904
1150698,"betamethasone valerate 100 mg/100 g + urea 10 g/100 g cream, 100 g jar (GPU)",20200705
893248,"betamethasone valerate 100 mg/100 g + urea 10 g/100 g cream, 150 g jar (GPU)",20200704
893211,"betamethasone valerate 100 mg/100 g + urea 10 g/100 g cream, 30 g jar (GPU)",20200704
702203,"betamethasone valerate 100 mg/100 g + urea 10 g/100 g cream, 500 g jar (GPU)",20200704
702242,"betamethasone valerate 100 mg/100 g + urea 20 g/100 g cream, 500 g jar (GPU)",20200704
978897,"betamethasone valerate 100 mg/100 g + urea 30 g/100 g cream, 100 g jar (GPU)",20200904
978845,"betamethasone valerate 100 mg/100 g + urea 30 g/100 g cream, 15 g tube (GPU)",20160321
978878,"betamethasone valerate 100 mg/100 g + urea 30 g/100 g cream, 50 g jar (GPU)",20200904
1014846,"betamethasone valerate 100 mg/100 g + urea 40 g/100 g cream, 500 g jar (GPU)",20170916
702165,"betamethasone valerate 100 mg/100 g + urea 5 g/100 g cream, 500 g jar (GPU)",20200704
671762,"betamethasone valerate 100 mg/100 g cream, 15 g tube (GPU)",20170218
1207772,"betamethasone valerate 100 mg/100 g cream, 30 g jar (GPU)",20211110
872948,"betamethasone valerate 100 mg/100 g cream, 30 g tube (GPU)",20170218
671789,"betamethasone valerate 100 mg/100 g cream, 450 g jar (GPU)",20200904
1207826,"betamethasone valerate 100 mg/100 g cream, 5 g jar (GPU)",20211110
671736,"betamethasone valerate 100 mg/100 g cream, 5 g tube (GPU)",20170218
758221,"betamethasone valerate 100 mg/100 g cream, 500 g jar (GPU)",20200702
888706,"betamethasone valerate 100 mg/100 g cream, 500 g tube (GPU)",20170218
893379,"betamethasone valerate 50 mg/100 g + clioquinol 3 g/100 g cream, 30 g jar (GPU)",20200904
892725,"betamethasone valerate 50 mg/100 g + coal tar 5 mL/100 g cream, 150 g jar (GPU)",20200718
892699,"betamethasone valerate 50 mg/100 g + coal tar 5 mL/100 g cream, 30 g jar (GPU)",20200718
927363,"betamethasone valerate 50 mg/100 g + urea 10 g/100 g cream, 15 g jar (GPU)",20190803
927411,"betamethasone valerate 50 mg/100 g + urea 10 g/100 g cream, 150 g jar (GPU)",20190803
927392,"betamethasone valerate 50 mg/100 g + urea 10 g/100 g cream, 30 g jar (GPU)",20190803
927430,"betamethasone valerate 50 mg/100 g + urea 10 g/100 g cream, 500 g jar (GPU)",20190803
919135,"betamethasone valerate 50 mg/100 g cream, 15 g jar (GPU)",20190803
919188,"betamethasone valerate 50 mg/100 g cream, 150 g jar (GPU)",20190803
919161,"betamethasone valerate 50 mg/100 g cream, 30 g jar (GPU)",20190803
919220,"betamethasone valerate 50 mg/100 g cream, 450 g jar (GPU)",20200904
919208,"betamethasone valerate 50 mg/100 g cream, 500 g jar (GPU)",20190803
1323227,"betamethasone varelate 100 mg/100 g + urea 10 g/100 g cream, 30 g tube (GPU)",20250215
855550,"beta-sitosterol 250 mg/100 g ointment, 10 g tube (GPU)",20141019
523191,"betaxolol 250 mg/100 mL eye drops, solution, 5 mL bottle (GPU)",20170204
354278,"betaxolol hydrochloride 20 mg film-coated tablet, 1 tablet (GPU)",20170204
684280,"bethanechol chloride 10 mg tablet, 1 tablet (GPU)",20140104
684233,"bethanechol chloride 5 mg tablet, 1 tablet (GPU)",20140104
984731,"bevacizumab 1.25 g/100 mL solution for injection, 4 mL bottle (GPU)",20231001
985366,"bevacizumab 100 mg/4 mL concentrate for solution for infusion, 4 mL vial (GPU)",20160605
994288,"bevacizumab 2.5 g/100 mL solution for injection, 0.06 mL prefilled syr (GPU)",20200718
987445,"bevacizumab 2.5 g/100 mL solution for injection, 0.09 mL prefilled syr (GPU)",20200718
984689,"bevacizumab 2.5 g/100 mL solution for injection, 4 mL bottle (GPU)",20231001
774791,"bevacizumab 2.5 mg/0.1 mL solution for injection, 0.1 mL prefilled syr (GPU)",20170114
1300134,"bevacizumab 400 mg/16 mL concentrate for solution for infusion, 16 mL vial (GPU)",20240615
200685,"bezafibrate 200 mg film-coated tablet, 1 tablet (GPU)",20130627
200692,"bezafibrate 200 mg tablet, 1 tablet (GPU)",20130627
200709,"bezafibrate 400 mg prolonged-release tablet, 1 tablet (GPU)",20130627
719855,"biapenem 300 mg powder for solution for injection, 1 vial (GPU)",20140118
200713,"bicalutamide 150 mg film-coated tablet, 1 tablet (GPU)",20130627
200721,"bicalutamide 50 mg film-coated tablet, 1 tablet (GPU)",20130627
200732,"bicalutamide 50 mg tablet, 1 tablet (GPU)",20130627
1159108,"bictegravir 50 mg + emtricitabine 200 mg + tenofovir alafenamide 25 mg film-coated tablet, 1 tablet (GPU)",20200904
647044,"bifidobacterium biphidum 1 billion organisms + lactobacillus acidophilus agent 1 billion organisms capsule, hard, 1 capsule (GPU)",20131005
1005241,"bifonazole 1 g/100 g cream, 10 g tube (GPU)",20170316
1222345,"bilastine 10 mg orodispersible tablet, 1 tablet (GPU)",20220203
954792,"bilastine 20 mg tablet, 1 tablet (GPU)",20150805
786725,"bimatoprost 10 mg/100 mL eye drops, solution, 3 mL bottle (GPU)",20170629
1002114,"bimatoprost 30 mg/100 mL + timolol 500 mg/100 mL eye drops, solution, 0.4 mL unit dose (GPU)",20170114
526681,"bimatoprost 30 mg/100 mL + timolol 500 mg/100 mL eye drops, solution, 3 mL bottle (GPU)",20130914
525888,"bimatoprost 30 mg/100 mL eye drops, solution, 3 mL bottle (GPU)",20170218
525916,"bimatoprost 30 mg/100 mL eye drops, solution, 5 mL bottle (GPU)",20170218
525937,"bimatoprost 30 mg/100 mL eye drops, solution, 7.5 mL bottle (GPU)",20170218
263395,"biotin 1 mg tablet, 1 tablet (GPU)",20130805
799361,"biotin 150 mcg + calcium 100 mg + colecalciferol 200 iu + copper 500 mcg + cyanocobalamin 1 mg + folic acid 200 mcg + ginseng extract 40 mg + iron 10 mg + magnesium 40 mg + nicotinamide 18 mg + pyridoxine hydrochloride 2 mg + riboflavin 1.6 mg + selenium 50 mcg + thiamine mononitrate 1.4 mg + tocopherol 14.9 mg + zinc 1 mg effervescent tablet, 1 tablet (GPU)",20221001
903569,"biotin 150 mcg + calcium pantothenate 6.4 mg + cyanocobalamin 20 mcg + folic acid 300 mcg + nicotinamide 20 mg + pyridoxine 2 mg + riboflavin 1.7 mg + thiamine 1.5 mg film-coated tablet, 1 tablet (GPU)",20240913
338305,"biotin 300 mcg tablet, 1 tablet (GPU)",20130805
1131358,"biotin 50 mcg + calcium pantothenate 50 mg + choline bitartrate 50 mg + cyanocobalamin 50 mcg + folic acid 100 mcg + inositol 50 mg + nicotinamide 50 mg + pyridoxine hydrochloride 50 mg + riboflavin 50 mg + thiamine 50 mg capsule, soft, 1 capsule (GPU)",20191115
263444,"biotin 600 mcg capsule, hard, 1 capsule (GPU)",20130805
263485,"biotin 600 mcg film-coated tablet, 1 tablet (GPU)",20130805
263526,"biotin 600 mcg tablet, 1 tablet (GPU)",20130805
321439,"bisacodyl 10 mg coated tablet, 1 tablet (GPU)",20130805
264238,"bisacodyl 10 mg film-coated tablet, 1 tablet (GPU)",20130805
264530,"bisacodyl 10 mg suppository, 1 suppository (GPU)",20160404
279573,"bisacodyl 5 mg + docusate sodium 15 mg film-coated tablet, 1 tablet (GPU)",20130805
451679,"bisacodyl 5 mg + docusate sodium 15 mg tablet, 1 tablet (GPU)",20130805
361734,"bisacodyl 5 mg + phenolphthalein 25 mg coated tablet, 1 tablet (GPU)",20130805
329896,"bisacodyl 5 mg capsule, hard, 1 capsule (GPU)",20130805
259842,"bisacodyl 5 mg coated tablet, 1 tablet (GPU)",20130805
262801,"bisacodyl 5 mg film-coated tablet, 1 tablet (GPU)",20130805
959625,"bisacodyl 5 mg gastro-resistant tablet, 1 tablet (GPU)",20150922
294437,"bisacodyl 5 mg suppository, 1 suppository (GPU)",20160404
264433,"bisacodyl 5 mg tablet, 1 tablet (GPU)",20130805
490684,"bismuth oxide 875 mg/100 g + bismuth subgallate 2.25 g/100 g + zinc oxide 10.75 g/100 g ointment, 22.5 g tube (GPU)",20130830
832373,"bismuth subgallate 100 mg + bufexamac 250 mg + lidocaine 10 mg + titanium dioxide 100 mg suppository, 1 suppository (GPU)",20160404
832302,"bismuth subgallate 50 mg/1 g + bufexamac 50 mg/1 g + lidocaine 5 mg/1 g + titanium dioxide 50 mg/1 g ointment, 20 g tube (GPU)",20140803
846413,"bismuth subsalicylate 1.048 g tablet, 1 tablet (GPU)",20140914
882018,"bismuth subsalicylate 262 mg chewable tablet, 1 tablet (GPU)",20150119
200745,"bismuth subsalicylate 262 mg tablet, 1 tablet (GPU)",20130627
200750,"bismuth subsalicylate 262 mg/15 mL oral suspension, 240 mL bottle (GPU)",20130627
866331,"bismuth subsalicylate 524 mg tablet, 1 tablet (GPU)",20150105
200766,"bismuth subsalicylate 524 mg/15 mL oral suspension, 240 mL bottle (GPU)",20130627
361214,"bisoprolol fumarate 10 mg + hydrochlorothiazide 6.25 mg film-coated tablet, 1 tablet (GPU)",20130805
294170,"bisoprolol fumarate 10 mg film-coated tablet, 1 tablet (GPU)",20130805
361279,"bisoprolol fumarate 2.5 mg + hydrochlorothiazide 6.25 mg film-coated tablet, 1 tablet (GPU)",20130805
294245,"bisoprolol fumarate 2.5 mg film-coated tablet, 1 tablet (GPU)",20130805
1002445,"bisoprolol fumarate 2.5 mg tablet, 1 tablet (GPU)",20170114
361331,"bisoprolol fumarate 5 mg + hydrochlorothiazide 6.25 mg film-coated tablet, 1 tablet (GPU)",20130805
294297,"bisoprolol fumarate 5 mg film-coated tablet, 1 tablet (GPU)",20130805
1002484,"bisoprolol fumarate 5 mg tablet, 1 tablet (GPU)",20170114
200778,"bleomycin hydrochloride 15 mg powder for solution for injection, 1 vial (GPU)",20200815
200784,"bleomycin sulfate 15 unit powder for solution for injection, 1 vial (GPU)",20200613
200797,"bleomycin sulfate 500 mg/100 g ointment, 5 g tube (GPU)",20160417
1118418,"blinatumomab 35 mcg powder for concentrate and solution for solution for infusion, 1 vial (GPU)",20240202
798044,"blood group antibody D 750 iu/1 mL solution for injection, 2 mL prefilled syr (GPU)",20220514
694201,"boceprevir 200 mg capsule, hard, 1 capsule (GPU)",20140118
896609,"borax 1 g/100 mL + salicylic acid 3.3 g/100 mL + zinc oxide 6.6 g/100 mL cutaneous emulsion, 60 mL bottle (GPU)",20150218
968848,"borax 12 g/100 g + glycerol 88 g/100 g cutaneous solution, 30 mL bottle (GPU)",20160104
968807,"borax 12 g/100 g + glycerol 88 g/100 g ear drops, solution, 10 mL bottle (GPU)",20160104
875848,"borax 12 g/100 g + glycerol 88 g/100 g ear drops, solution, 30 mL bottle (GPU)",20150909
931378,"borax 12 g/100 g + glycerol 88 g/100 g ear drops, solution, 450 mL bottle (GPU)",20150909
504294,"borax 12 g/100 g + glycerol 88 g/100 g oromucosal solution, 15 mL bottle (GPU)",20160117
950138,"borax 12 g/100 g + glycerol 88 g/100 g oromucosal solution, 30 mL bottle (GPU)",20160117
504327,"borax 12 g/100 g + glycerol 88 g/100 g oromucosal solution, 450 mL bottle (GPU)",20160117
948421,"borax 12 g/100 g + glycerol 88 g/100 g oromucosal solution, 60 mL bottle (GPU)",20160117
915318,"borax 12 g/100 g ear drops, solution, 60 mL bottle (GPU)",20150907
921109,"borax 12 g/100 mL + glycerol 100 mL/100 mL ear drops, solution, 15 mL bottle (GPU)",20150404
979726,"borax 12 g/100 mL + glycerol 60 mL/100 mL + lidocaine hydrochloride 1 g/100 mL oromucosal solution, 240 mL bottle (GPU)",20160404
979695,"borax 12 g/100 mL + glycerol 60 mL/100 mL + lidocaine hydrochloride 1 g/100 mL oromucosal solution, 30 mL bottle (GPU)",20160404
1172682,"borax 12 g/100 mL + glycerol 88 g/100 mL oromucosal solution, 120 mL bottle (GPU)",20210129
1036310,"borax 12 g/100 mL + glycerol 88 g/100 mL oromucosal solution, 15 mL bottle (GPU)",20180805
1036347,"borax 12 g/100 mL + glycerol 88 g/100 mL oromucosal solution, 30 mL bottle (GPU)",20180805
