TMTID(GPU),FSN,CHANGEDATE
1009504,"acetylcysteine 300 mg/1.5 mL solution for injection, 1.5 mL ampoule (GPU)",20180531
536221,"acetylcysteine 300 mg/3 mL solution for injection, 3 mL ampoule (GPU)",20131005
528145,"acetylcysteine 5 g/100 mL eye drops, solution, 5 mL bottle (GPU)",20130914
536127,"acetylcysteine 5 g/25 mL solution for injection, 25 mL vial (GPU)",20171202
338457,"acetylcysteine 600 mg capsule, hard, 1 capsule (GPU)",20130805
1044072,"acetylcysteine 600 mg effervescent powder, 3.1 g sachet (GPU)",20190531
300748,"acetylcysteine 600 mg effervescent tablet, 1 tablet (GPU)",20130805
383234,"acetylcysteine 600 mg film-coated tablet, 1 tablet (GPU)",20130805
228942,"acetylcysteine 600 mg tablet, 1 tablet (GPU)",20130805
857535,"acetylcysteine 600 mg/5 g granules for oral solution, 5 g sachet (GPU)",20170916
1115188,"acetylcysteine 600 mg/5 g powder for oral solution, 5 g sachet (GPU)",20211110
766145,"acetylcysteine 600 mg/7 g granules for oral solution, 7 g sachet (GPU)",20170902
536664,"aciclovir 1 g powder for solution for infusion, 1 vial (GPU)",20160417
536369,"aciclovir 100 mg/100 mL solution for injection, 100 mL vial (GPU)",20131005
1271239,"aciclovir 20 mg/1 mL oral suspension, 20 mL bottle (GPU)",20230617
1156641,"aciclovir 20 mg/1 mL oral suspension, 60 mL bottle (GPU)",20200801
256382,"aciclovir 200 mg capsule, hard, 1 capsule (GPU)",20130805
226551,"aciclovir 200 mg tablet, 1 tablet (GPU)",20130805
662625,"aciclovir 200 mg/5 mL oral suspension, 60 mL bottle (GPU)",20160417
536463,"aciclovir 250 mg powder for solution for infusion, 1 vial (GPU)",20160417
536416,"aciclovir 250 mg/10 mL concentrate for solution for infusion, 10 mL vial (GPU)",20160417
662673,"aciclovir 3 g/100 g eye ointment, 4.5 g tube (GPU)",20131102
230916,"aciclovir 400 mg tablet, 1 tablet (GPU)",20130805
872656,"aciclovir 5 g/100 g cream, 1 g sachet (GPU)",20181115
