SUBSID,VTMID
746865,746883
748323,1010936
742529,1206810
706548,706569
553452,553475
803241,803260
771619,891171
704726,932317
1296450,1296478
534528,534544
223298,220540
223365,886795
804527,804543
1110844,1110902
323212,323254
762446,762480
225901,765469
449964,449986
531228,456879
894236,982212
223515,1126198
333738,333755
764614,854423
223527,678853
561460,983075
385109,514346
223222,871242
854680,1280944
725624,725682
665824,965768
945725,945741
894270,894301
225226,222446
525358,525370
529589,529602
1308853,1308876
689319,692082
724610,724634
602824,610211
686946,686967
485300,775335
683241,790903
467116,467137
950642,950674
854605,1002677
225219,656303
1032920,1170377
757339,788068
225469,923009
776097,989014
254473,1159080
223354,1206810
822572,730363
1158574,1162595
531114,531762
1143495,1143513
738298,830321
530958,530970
756057,531069
709979,709998
776111,1179353
228974,229015
520688,799147
758896,795638
744559,784152
909198,909216
263693,1199390
690898,690912
234194,234211
223354,989154
732437,732459
225891,756144
689388,859015
763570,977507
833808,1106240
518056,518158
709830,709853
225288,1026202
1289773,1289794
1174200,1177720
1239947,1239968
487104,656970
418248,418276
666783,742351
934432,934478
1026857,1026890
1005032,1005078
1138251,1138298
223809,221029
533578,254402
742529,1237966
665824,361660
847042,858302
1253191,1253213
939714,939733
742529,860764
653777,653796
223222,709283
720671,720692
223354,755129
828029,828040
1309260,1309287
665824,625823
266183,916825
842717,842738
812145,1205853
231530,231645
854701,1321576
485300,1122651
223354,910250
223558,913194
707949,1042808
748212,965775
224452,975834
858076,290551
225917,338398
223354,886795
1040407,1040424
231217,231238
748427,500913
854826,1279145
263693,858198
991561,991588
322735,322757
708447,976456
1013371,1013392
773375,890557
742615,904655
763591,956261
994482,994509
748212,965706
322735,958166
858076,605753
665824,297389
854786,854861
520688,914465
1221178,1221236
319153,319176
757237,757356
223354,783588
902417,956261
519482,858758
385109,992406
794171,794192
225584,221525
595593,603047
763591,763660
675472,981012
531228,622311
564007,564024
848110,848152
251007,251024
502390,987228
490737,500540
885351,1205436
776097,1165787
1048734,1048752
504256,914941
1234497,1286493
263693,748375
263693,787296
748064,609371
263693,871870
490737,953923
992423,992447
742529,1209961
225699,222894
763570,804233
520688,963597
525842,525861
385109,958386
863372,992078
1286747,1286768
595593,1242201
1170298,1170377
807681,232323
859544,859563
854740,1279145
224793,222031
223799,221017
738298,859091
695928,980698
225901,967505
317289,358402
757318,858198
1106451,1106498
443197,443215
491988,934167
995939,995941
223982,221208
1025856,1027141
946757,946788
675493,835786
263693,940823
669114,1119409
385109,514160
531114,612286
885351,935303
769912,776729
779209,779221
710113,710132
696815,336368
988975,989014
614481,670744
689632,859091
934432,1140860
339479,388927
385109,621549
858076,967477
748323,799342
463089,579314
854729,1002677
225226,1027997
698258,1001945
681703,681726
669048,792140
650041,987263
995939,1020035
854701,1280944
531048,531069
695315,796502
225891,967514
505827,789365
792724,792748
776111,876517
1138279,1160125
602824,818219
675723,676073
225469,955452
756673,992861
719466,719484
235753,235776
665824,531151
531387,950350
247033,349956
383753,383776
224153,221399
521712,839116
679508,944327
223354,994337
224336,221556
269214,351219
894236,1122971
225469,792027
225815,222785
521712,1164410
272610,272652
770976,771062
225917,820936
748040,794618
226449,229101
680421,682234
869165,869203
223515,799342
399773,399794
510153,798749
872618,872639
317215,490860
317215,494004
263693,699090
1134093,1134157
1138279,1138298
531228,859563
269562,269589
1032004,1032027
547239,1133575
748427,611980
487751,488285
748352,1200648
223976,221190
228990,229015
510153,1034493
382410,382434
692478,1221477
228665,228683
1241142,1241161
246093,246119
685400,685428
224729,764148
732672,732693
797597,797652
323231,1018600
726069,1031579
519482,825026
965331,965354
1285247,1285268
677010,677408
763639,763660
1196220,1196375
397082,397105
719534,719552
272634,621549
777071,777211
520688,785985
646009,869972
748212,965752
763639,956261
520688,934341
236558,394754
520688,1134671
490716,491030
668309,669069
668559,1001899
901901,901929
520688,950571
1160102,1297930
224651,221946
278959,278971
254473,765067
885351,1040022
1279121,1279145
1035640,1035664
1164391,1308249
614481,686502
724067,725682
903825,903887
764698,764772
645293,645319
748427,614287
894236,958075
602824,1032234
665824,626164
341176,343581
748064,596129
323212,676073
