id,conceptId,isFSN,term
833329017,90261005,True,Lactococcus plantarum
149613017,90261005,False,Streptococcus plantarum
833330010,90262003,True,normal subcellular morphology
149615012,90262003,False,normal electron microscopy findings
1205264012,90263008,True,basal infolding of cell membrane
833332019,90264002,True,male genital structure
149620012,90264002,False,male genital organs
833333012,90265001,True,Thermoactinomyces dichotomicus
833334018,90266000,True,hemoglobin D
3744746018,90266000,False,Hb D - haemoglobin D
3744745019,90266000,False,Hb D - hemoglobin D
508923010,90266000,False,haemoglobin D
833335017,90267009,True,Capillaria obsignata
833337013,90269007,True,operative procedure on artery of head and neck
833339011,90270008,True,both renal pelves
1472705013,9027003,True,normal pulmonary arterial wedge pressure
15906016,9027003,False,normal arterial wedge pressure
1495511013,9027003,False,normal pulmonary capillary wedge pressure
3291957010,90271007,True,intestinal infection caused by Arizona group
833342017,90272000,True,Enterococcus faecium
149633018,90272000,False,Streptococcus faecium
833343010,90273005,True,talectomy for foot stabilization
508928018,90273005,False,Whitman operation for foot stabilisation
149635013,90273005,False,Whitman operation for foot stabilization
508927011,90273005,False,talectomy for foot stabilisation
833344016,90274004,True,structure of ligament of auricle
508930016,90274004,False,auricular ligament
149636014,90274004,False,ligaments of auricle
833345015,90275003,True,habit
149642013,90275003,False,behavior pattern
508931017,90275003,False,behaviour pattern
833346019,90276002,True,Ingwavuma virus
833347011,90277006,True,gold jewelry
508932012,90277006,False,gold jewellery
833348018,90278001,True,secluding patient
1495512018,90278001,False,seclusion
833349014,90279009,True,Hyalomma marginatum rufipes
833352018,9028008,True,anesthesia for procedure on upper leg
508940018,9028008,False,anaesthesia for procedure on upper leg
3290791013,90281006,True,infection caused by Opisthorchis viverrini
149650016,90281006,False,infection by Opisthorchis viverrini
2789471016,90283009,True,Bothrops schlegelii
149654013,90283009,False,Schlegel's tree viper
149655014,90283009,False,eyelash viper
149656010,90283009,False,horned palm viper
833356015,90284003,True,attachment of orbicularis oculi to eyebrow
833357012,90285002,True,Actinomadura madurae
149659015,90285002,False,Nocardia madurae
833358019,90286001,True,coffee roaster
833359010,90287005,True,thalamectomy
2672060019,90287005,False,chemical destruction of part of thalamus
833360017,90288000,True,Vipera xanthina raddei
833361018,90289008,True,closed obturator dislocation of hip
833363015,9029000,True,Simondsia
833364014,90290004,True,umbilical region structure
149664016,90290004,False,umbilical region
833365010,90291000,True,personal appearance about reported age
149666019,90291000,False,appearance about reported age
833366011,90292007,True,Corallus caninus
149668018,90292007,False,emerald tree boa
2869002010,90294008,True,Eolophus roseicapilla
149673012,90294008,False,Eolophus roseicapillus
2647355012,90294008,False,Roseate cockatoo
2647354011,90294008,False,galah
149674018,90294008,False,rose-breasted cockatoo
833370015,90296005,True,blood group antibody Fy4
833371016,90297001,True,closure of thoracointestinal fistula
149677013,90297001,False,repair of thoracointestinal fistula
833372011,90298006,True,Veronica virginica
149679011,90298006,False,culver's-root
833373018,90299003,True,blood group antigen U^z^
833375013,90300006,True,Corydalis flavula
833377017,903008,True,chorioretinal infarction
833378010,90301005,True,Anopheles maculipennis melanoon
833379019,90302003,True,tuberculosis of cerebral meninges
833381017,90304002,True,blood group antibody Wetz
833382012,90305001,True,Sarcocystis bertrami
833383019,90306000,True,trial labor
1218565016,90306000,False,TOL - Trial of labor
1217077017,90306000,False,TOL - Trial of labour
508946012,90306000,False,trial labour
833384013,90307009,True,Ornithodoros dugesi
833385014,90308004,True,Vellore virus
833388011,90310002,True,deficiency of saccadic eye movements
149696012,90310002,False,optokinetic nystagmus
3437600013,90311000119107,True,vaccination declined by caregiver
833390012,90311003,True,lymphocyte chemotactic factor
833391011,90312005,True,"repair of malunion, of femur, distal to head and neck"
3427824013,90313000,True,autositic twin of asymmetrical conjoined twins
3427826010,90313000,False,autosite of asymmetrical conjoined twins
833393014,90314006,True,audible joint crepitus
149702012,90314006,False,audible crepitus of joint
4630485010,90315007,True,structure of pulmonary valve sinuses
149703019,90315007,False,pulmonary valve sinuses
2787187019,90316008,True,ritual friction injury of tooth
2795513018,90316008,False,ritual abrasion of tooth
833396018,90317004,True,helium
1235554015,90317004,False,he - Helium
4564651017,90318009,True,structure of annulus fibrosus of pulmonary artery
149707018,90318009,False,anulus fibrosus of pulmonary artery
149708011,90318009,False,pulmonic ring
508950017,90318009,False,structure of anulus fibrosus of pulmonary artery
2914664013,90320007,True,enzyme linked immunosorbent assay by avidin biotin peroxidase complex method
149710013,90320007,False,ELISA by avidin biotin peroxidase complex method
2621300014,90320007,False,enzyme linked immunosorbent assay (ELISA) by avidin biotin peroxidase complex method
833401019,9032002,True,disinterment for recovery of tissues
833403016,90322004,True,electronics physicist
833406012,90325002,True,vomiting of pregnancy
149718018,90325002,False,vomiting as reason for care in pregnancy
833410010,90329008,True,fine needle biopsy of retroperitoneal mass
149724012,90329008,False,fine needle aspiration biopsy of retroperitoneal tumor
201523016,90329008,False,fine needle aspiration biopsy of retroperitoneal tumour
3294689016,90331004,True,infection caused by Cylicodontophorus
149728010,90331004,False,cylicodontophorosis
149726014,90331004,False,infection by Cylicodontophorus
3488939017,90332006,True,product containing paracetamol
3716082011,90332006,False,acetaminophen-containing product
3716083018,90332006,False,paracetamol-containing product
833416016,90333001,True,direct thrombectomy of vena cava by leg incision
833417013,90334007,True,Psorergates oettlei
833418015,90335008,True,"hovercraft, device"
149733014,90335008,False,hovercraft
833419011,90336009,True,human adenovirus 39
833420017,90337000,True,removal of implantable intravenous infusion pump
833421018,90338005,True,open trimalleolar fracture
1235556018,90338005,False,"open fracture ankle, trimalleolar"
833422013,90339002,True,germicide
149741014,90339002,False,germicidal chemical
1235557010,90339002,False,germicidal chemical agent
149742019,90339002,False,germicidal chemical product
833424014,90340000,True,malt cooker
833426011,90341001,True,Oligella urethralis
2478907016,90341001,False,CDC group M-4
149745017,90341001,False,Moraxella urethralis
833427019,90342008,True,carbazochrome salicylate
833428012,90343003,True,Giardia canis
833429016,90344009,True,etazocine
833430014,90345005,True,core needle biopsy of trachea
3488940015,90346006,True,product containing razoxane
3716434012,90346006,False,razoxane-containing product
833433011,90348007,True,Ghashgai
833434017,90349004,True,Clostridium felsineum
5273087017,90349004,False,Clostridium aurantibutyricum
5268916017,90349004,False,Clostridium roseum
833436015,9035000,True,Ixodes muris
3720747013,90350004,True,1-pyrroline-4-hydroxy-2-carboxylate deaminase
833438019,90351000,True,direct repair of artery of upper extremity
3431426019,90351000119108,True,vaccination not done
833439010,90352007,True,sexual molestation
833440012,90353002,True,Clevelandia ios
149759012,90353002,False,arrow goby
833441011,90354008,True,complication of internal device
833442016,90355009,True,carbon radioisotope
3488941016,90356005,True,product containing pilocarpine
3716230017,90356005,False,pilocarpine-containing product
833445019,90358006,True,closed reduction of fracture of humerus without internal fixation
3297268011,90359003,True,shellfish poisoning caused by Gonyaulax tamarensis
833448017,90360008,True,suture of ligament of foot
833449013,9036004,True,direct smear for ectoparasites
722811000119111,90361000119105,True,behavioral insomnia of childhood
3788898017,90361000119105,False,behavioral sleep problem
2922246011,90361000119105,False,behavioural insomnia of childhood
3788899013,90361000119105,False,behavioural sleep problem
2612750017,90361007,True,Elaphodus cephalophus
149770017,90361007,False,tufted deer
2153010012,90363005,True,Salmonella Ligeo
2553129014,90363005,False,"Salmonella 30:l,v:1,2"
2553128018,90363005,False,Salmonella enterica subsp. enterica ser. Ligeo
833453010,90364004,True,Solanum panduriforme
2744100010,90365003,True,dermoid cyst of mouth
833455015,90366002,True,Amblyomma pomposum
833457011,90368001,True,Tyrophagus longior
508964017,90368001,False,Baker's itch mite
149779016,90368001,False,cheese mite
833458018,90369009,True,Strongyloides ratti
3522763012,90370005,True,product containing benzalkonium
3713434019,90370005,False,benzalkonium-containing product
833461017,9037008,True,Isospora hominis
833463019,90372002,True,excision of osseous tuberosities of dentoalveolar structures
1205271019,90373007,True,"secretory rate, function"
149785011,90373007,False,secretory rate
833465014,90374001,True,acquired spastic flat foot
149787015,90374001,False,acquired rigid flat foot
4629930017,90375000,True,structure of hiatus genitalis
149788013,90375000,False,hiatus genitalis
833467018,90376004,True,abnormal popliteal pulse
833468011,90377008,True,sialectasia
508967012,90377008,False,dilatation of salivary duct
201528013,90377008,False,sialectasis
1472707017,90378003,True,biofeedback training by electromyogram application in tension headache
833472010,90380009,True,removal of pyelostomy and nephrostomy tubes
3744637019,9038003,True,infection caused by Taenia multiceps
15922015,9038003,False,infection by Multiceps multiceps
3293796019,9038003,False,infection caused by Multiceps multiceps
833474011,90381008,True,occipitoanterior position
1235559013,90381008,False,OA - Occipitoanterior position
833475012,90382001,True,structure of medial basal segment of left lower lobe of lung
149795016,90382001,False,medial basal segment of left lower lobe of lung
833476013,90383006,True,congenital absence of aorta
3292493015,90384000,True,infection caused by Physocephalus
149798019,90384000,False,infection by Physocephalus
149800014,90384000,False,physocephalosis
833478014,90385004,True,lymph lymphocyte
1772515010,90386003,True,food-induced photosensitivity
833481016,90388002,True,Norape
833485013,9039006,True,Tityus bahiensis
833486014,90391002,True,blast
833487017,90392009,True,nocturnal muscle spasm
3006899013,903925371000087108,True,Candida norvegica
833488010,90393004,True,Sorghum almum poisoning
833489019,90394005,True,anesthesia for augmentation mammoplasty
508976017,90394005,False,anaesthesia for augmentation mammoplasty
833490011,90395006,True,Dirofilaria magalhaesi
3331496012,903952141000132105,True,stenosis of jejunum
3331498013,903952141000132105,False,jejunal stenosis
5170034015,90396007,True,Levilactobacillus brevis
149817019,90396007,False,Lactobacillus brevis
833493013,90398008,True,Cantharellus tubaeformis
149820010,90398008,False,tubed cantharellus
833494019,90399000,True,structure of perirenal fat
149821014,90399000,False,perirenal fat
833497014,9040008,True,ascending colon structure
15924019,9040008,False,ascending colon
833498016,904002,True,Pinard's sign
2838262015,904002,False,Pinard sign
2153012016,90403009,True,Salmonella Wa
2553076015,90403009,False,"Salmonella 16:b:1,5"
2553075016,90403009,False,Salmonella enterica subsp. enterica ser. Wa
833502011,90404003,True,fibrinogen Barcelona I
833503018,90405002,True,complete meniscectomy of temporomandibular joint
833504012,90406001,True,amorphosynthesis
833505013,90407005,True,evaluation of psychiatric state of patient
833506014,90408000,True,structure of crista supraventricularis
5160401014,90408000,False,crest of ventricular septum
149835011,90408000,False,crista supraventricularis
833509019,90410003,True,wedge resection of stomach
833510012,9041007,True,Campylobacter hyointestinalis
833511011,90411004,True,structure of spinalis cervicis muscle
149839017,90411004,False,spinalis cervicis muscle
4650303014,90411004,False,spinalis colli
833512016,90412006,True,"colonoscope, device"
149840015,90412006,False,colonoscope
833513014,90413001,True,structure of third metatarsal articular facet of fourth metatarsal bone
149841016,90413001,False,third metatarsal articular facet of fourth metatarsal bone
833514015,90414007,True,chronic acquired pure red cell aplasia
508988015,90414007,False,chronic acquired pure red cell anaemia
149843018,90414007,False,chronic acquired pure red cell anemia
833515019,90415008,True,immature behavior
149845013,90415008,False,behavioral immaturity
149846014,90415008,False,behavioural immaturity
508989011,90415008,False,immature behaviour
833516018,90416009,True,subcutaneous tissue structure of interdigital space of foot
149847017,90416009,False,subcutaneous tissue of interdigital space of foot
833517010,90417000,True,cervical arthrodesis by posterior technique
